pid,dx_id,n_events,event_years,sources,age_src,capture_ts
P0ad01302af,4824,1,2004,NBA Pre-Draft Camp,,20170609071858
Pe6c8b117c8,1487,1,2004,?,,20170609015520
P1b3889c122,4724,1,2003,NBA Pre-Draft Camp,,20170602102303
P7aeaf13cc2,4676,1,2004,NBA Pre-Draft Camp,,20170609071858
Pc02213b2fe,4723,1,2004,?,,20170704165251
P8eebd87e26,2360,2,2003|2004,?|NBA Pre-Draft Camp,,20170602102303|20170609071858
Pcc92138fb2,1874,1,2004,NBA Pre-Draft Camp,,20170609071858
Pb3e080e381,2285,1,2004,NBA Pre-Draft Camp,3,20170609071858
P20571734e6,1527,1,2004,?,3,20170128164518
P46af6c0052,4141,1,2004,?,3,20170819015616
Pd2c0348ebe,4438,1,2004,?,,20170128164518
Pe4ea2d8948,2479,1,2004,?,,20170128164518
Pf2b6b60b16,2430,1,2004,NBA Pre-Draft Camp,,20170609071858
P379acc01ca,3079,1,1998,?,,20170128164518
P8176cc6d95,1572,1,2002,?,,20170719202744
P6ce52469e7,3191,1,2003,?,,20170602102303
Pd6e783f74c,2981,1,2001,?,,20170612113813
P27d4bedf9b,1712,1,2004,?,3,20170612113813
P391abc2490,2331,1,2004,?,,20170721045213
P2b413e3467,2135,1,2004,?,,20170128164518
P23c2e6b3e7,1604,1,2004,?,3,20170613224311
P630cc033c0,1896,1,2004,?,3,20170128164518
Pddd42c77c5,4065,1,2004,?,3,20170128164518
P099a8d0c1c,70,1,2005,?,,20170703214529
P3470a61a00,59,1,2005,?,3,20170609020653
P5afd5b991d,72,1,2005,NBA Pre-Draft Camp,3,20170609071858
P5e4491e5c3,14,1,2005,NBA Pre-Draft Camp,3,20170609071858
Pc047806c80,5,1,2005,NBA Pre-Draft Camp,3,20170609071858
Pf804162018,279,1,2005,?,3,20170626123447
P572a4194e6,60,1,2005,?,3,20170703214529
P42d0d6de9a,85,1,2005,?,3,20170703214529
Pcb4360a784,81,1,2005,?,3,20170628113652
P8a3b7b6860,11,1,2005,?,3,20170609020653
P9f246cdbe1,12,1,2005,?,3,20170609020653
Pf4d4553b6f,125,1,2005,?,3,20170128164518
Pc295aab61a,88,1,2005,?,,20170625182327
P471bec0288,86,1,2005,?,,20170709230758
P81f3558def,287,1,2005,?,3,20170609015520
Pdd972253d5,42,1,2005,?,,20170609015520
P959d20dcac,8,1,2005,?,3,20170128164518
P9cbbbfe0cc,67,1,2004,NBA Pre-Draft Camp,,20170609071858
Pa4dad52ff4,9,1,2005,NBA Pre-Draft Camp,3,20170609071858
P311b5f6b41,123,1,2005,?,3,20170128164518
P6f59c256f3,320,1,2005,NBA Pre-Draft Camp,,20170609071858
P17786d3599,419,1,2005,?,3,20170827210628
P8c537f5a4d,82,1,2005,?,3,20170827210628
Pe68742d859,87,1,2005,?,3,20170128164518
P690d8b352a,53,1,2004,?,3,20170128164518
Pc6a39f466a,254,1,2005,?,,20170612113813
Pd382320a3c,61,1,2005,?,,20170128164518
Peb2d46202e,80,1,2005,NBA Pre-Draft Camp,3,20170609071858
P74b9613d69,289,1,2005,NBA Pre-Draft Camp,3,20170609071858
P01bc9a886e,162,1,2005,?,3,20170819015616
P11475d8eed,40,1,2005,?,,20170721045213
P43e7adb565,130,1,2005,NBA Pre-Draft Camp,3,20170609071858
P74b71b0d31,43,1,2004,?,,20170128164518
P83f12f36b1,445,1,2005,?,3,20170606053549
P2b78092e41,112,2,2004|2005,?|?,3,20170128164518
Pbb4d6101de,83,1,2004,?,3,20170709230758
P38dadf836a,120,1,2005,?,,20170718100052
Pb5af3844f5,339,1,2005,?,,20170128164518
P21b2b49a34,323,2,2004|2005,?|?,,20170128164518
Pb87f242f46,329,1,2005,?,,20170128164518
Pd650e439a2,391,1,2005,?,3,20170625182327
P5104e01e75,388,1,2005,?,3,20170625182327
Pa68189cdce,131,1,2005,?,3,20170128164518
Pef98a54ad0,84,1,2005,?,,20170612113813
P3928bad8a7,322,1,2005,?,3,20170128164518
Pb945050559,438,1,2005,?,,20170128164518
Pc1044ed1f5,298,1,2005,?,,20170819015616
P403a83bdf0,73,1,2005,?,3,20170128164518
P55b27de869,98,1,2005,?,,20170613224311
P0a4d4ad000,5424,1,2000,?,,20170718101448
P023105521e,5190,1,2003,?,3,20170602102303
P0ad0c7ed95,5185,1,2005,?,,20170625182327
Pbd8640195d,5435,1,2002,?,,20170719202744
Pf1999192da,110,1,2005,?,3,20170128164518
P3914f363fb,374,1,2005,?,,20170128164518
P8b388e1924,6,1,2005,?,3,20170128164518
P485a20a47a,52,1,2005,?,3,20170128164518
Pff1fab2e32,154,1,2006,?,,20170703214529
P27f732ca1a,55,1,2006,?,3,20170718120111
P49164b4255,174,1,2006,?,,20170718120111
Pd31d743729,511,1,2006,?,,20170718120111
P91b09695de,18,1,2006,?,,20170718120111
Pa1953f4a95,343,1,2006,NBA Pre-Draft Camp,3,20170718120111
Pf919ba1bb3,454,1,2006,NBA Pre-Draft Camp,3,20170718120111
P4634e39421,34,1,2006,?,3,20170718120111
P4dc7399d2c,380,1,2006,?,,20170718120111
P058ee51b71,64,1,2006,?,3,20170718120111
P54e5c21a96,609,1,2006,?,3,20170718120111
P78afb3722d,76,1,2006,?,,20170718120111
Pd47bfc21b1,296,1,2006,?,3,20170718120111
P74ff916074,588,1,2006,?,3,20170718120111
P6f3dd59527,221,1,2006,NBA Pre-Draft Camp,3,20170718120111
Pdb7c6b10a9,354,1,2006,NBA Pre-Draft Camp,3,20170718120111
P1bf2734620,340,1,2006,?,,20170718120111
P7781579610,129,2,2006|2006,?|?,3,20170128164518|20170718120111
Pad940d555c,606,2,2006|2006,?|?,,20170128164518|20170718120111
P82e987418b,133,1,2006,?,,20170718120111
Pe4baee43bf,351,2,2006|2006,NBA Pre-Draft Camp|?,3,20170128164518|20170718120111
P6565076e45,455,2,2006|2006,NBA Pre-Draft Camp|?,,20170128164518|20170718120111
P2650c293bf,160,1,2006,?,3,20170718120111
P156589bd1a,126,1,2005,NBA Pre-Draft Camp,3,20170609071858
P117ae491b1,299,1,2006,?,3,20170718120111
P552922b6fa,574,1,2006,NBA Pre-Draft Camp,3,20170718120111
Pb8998ddf4a,430,1,2005,?,,20170625182327
P7363f8a8b4,331,1,2005,?,3,20170128164518
P633e796e6a,1013,2,2006|2006,?|?,3,20170128164518|20170718120111
Pf037b649bc,158,1,2006,?,3,20170718120111
P5551ba72f6,550,1,2006,?,,20170718120111
Pcbdc976fea,1037,2,2006|2006,?|?,,20170128164518|20170718120111
Pd1e1adb03d,346,2,2006|2006,?|?,,20170128164518|20170718120111
P4c433fbf72,304,2,2005|2006,?|?,,20170128164518|20170718120111
P09e349620c,1033,1,2006,?,3,20170128164518
P2611750e05,431,1,2005,?,3,20170128164518
Pe77ed0b343,1034,1,2006,?,,20170709230758
P3765a7e186,571,1,2006,?,3,20170718120111
Pe047befac5,387,2,2005|2006,?|?,,20170128164518|20170718120111
P85ac223123,5345,1,2002,?,,20170719202744
P15657a7054,5189,1,2004,?,3,20170128164518
P9ba3c3f8a6,5199,1,2004,?,3,20170128164518
Pbdc6b072d0,297,1,2006,?,,20170718120111
P87e51fede0,425,1,2006,?,,20170718120111
P2224af8be2,237,1,2007,?,1,20170827210608
P5713a8b541,390,2,2006|2007,?|?,1,20170128164518|20170827210608
Pba0c961d37,415,1,2007,?,1,20170827210608
Pbcd324b348,1176,1,2007,NBA Pre-Draft Camp,1,20170609071858
Pea4d2012e7,368,1,2007,?,1,20170827210608
P23d9f5804f,44,1,2007,?,,20170827210608
P4a79922b86,414,1,2007,?,1,20170827210608
Pd35ff5934d,277,2,2006|2007,?|?,1,20170128164518|20170827210608
Pad16010a79,589,1,2007,?,3,20170827210608
P12dc2a4dac,483,2,2006|2007,?|?,1,20170128164518|20170827210608
P49b077589e,577,1,2007,NBA Pre-Draft Camp,1,20170827210608
P8bc7e2260e,450,2,2006|2007,?|?,1,20170128164518|20170827210608
P25a045baff,275,1,2007,?,1,20170827210608
Pd84423f7e2,591,1,2007,?,1,20170827210608
P243742fc34,1015,1,2007,NBA Pre-Draft Camp,,20170827210608
Pdd125f24cc,385,1,2007,NBA Pre-Draft Camp,1,20170827210608
P2f5200d27c,562,1,2007,NBA Pre-Draft Camp,1,20170827210608
Pd6f3aa739f,369,1,2007,?,,20170827210608
Pb70d7d0b57,458,1,2007,NBA Pre-Draft Camp,1,20170827210608
P41fad117db,181,1,2007,?,,20170827210608
P42adf8ab25,22,1,2005,NBA Pre-Draft Camp,,20170609071858
Pd9ad951135,1026,1,2006,?,1,20170718120111
P168e9ad8d4,332,1,2007,NBA Pre-Draft Camp,1,20170609071858
P6950e00d3b,25,1,2004,?,,20170827210624
P56d107e80a,461,2,2007|2007,?|?,1,20170128164518|20170827210608
P6525188e53,420,1,2007,?,1,20170827210608
Pf6d18cb839,397,1,2007,?,1,20170827210608
P67d2056db6,227,1,2007,?,1,20170827210608
Pb380360b47,416,1,2007,?,3,20170827210608
Pcfbeb8a341,1079,2,2007|2007,?|?,1,20170128164518|20170827210608
P0f110bb83f,1162,1,2007,?,,20170827210608
Pd1415c96b7,453,2,2006|2007,?|?,1,20170718120111|20170827210608
Pf5e2b9f7f1,1023,1,2007,NBA Pre-Draft Camp,,20170609071858
Pac5bd0e496,610,1,2007,?,1,20170827210608
Pcb5c1e8ac6,584,1,2007,?,,20170827210608
P544e2d56ac,466,1,2007,NBA Pre-Draft Camp,,20170827210608
Pa610141ccc,1076,1,2007,NBA Pre-Draft Camp,,20170827210608
Pc86b9a08db,5186,1,2001,?,,20170128164518
P49a2cdbcb5,220,1,2006,?,3,20170718120111
P02f9f17423,1254,2,2006|2007,?|?,,20170718120111|20170827210608
P9bd8ef5672,182,2,2007|2007,?|?,3,20170128164518|20170827210608
Pd175d5631f,183,1,2007,?,3,20170827210608
Pda7f31dba8,5147,1,2007,?,,20170128164518
P2d45174d7f,1068,2,2007|2008,?|NBA Pre-Draft Camp,1,20170128164518|20171026023517
P722aa856f7,605,2,2007|2008,?|?,1,20170128164518|20171026023517
P552ea773e2,238,2,2007|2008,?|NBA Pre-Draft Camp,1,20170128164518|20171026023517
P67ee7c4408,5062,1,2008,NBA Pre-Draft Camp,,20171026023517
Pdfe2a49906,1062,1,2008,?,1,20171026023517
Pd43d378f42,328,1,2008,NBA Pre-Draft Camp,1,20171026023517
P2e38e474e2,1185,1,2008,?,1,20171026023517
P376f10f64c,1181,1,2008,NBA Pre-Draft Camp,1,20171026023517
Pab86c7dfaf,545,1,2008,?,1,20171026023517
P5f07dfebd6,1067,2,2007|2008,?|NBA Pre-Draft Camp,1,20170128164518|20171026023517
Pf1e6555cfc,78,1,2005,?,1,20170609020653
