pid,draft_year,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
Pce7c8a9da0,2022,,78.0,205.0,23.689885572982853,2.0,0.0,1.0,1.0,0.0,0.0
Pd5316f2e65,2022,,78.0,180.0,20.800875137253236,1.0,0.0,1.0,0.0,0.0,0.0
Pd6b4848f72,2022,,79.0,200.0,22.53067071428167,1.0,0.0,0.0,1.0,1.0,0.0
Pdd8eeaed18,2022,,80.0,215.0,23.618743691003008,2.0,0.0,0.0,1.0,1.0,0.0
Pe22f69b7a0,2022,,79.0,245.0,27.60007162499505,3.0,0.0,0.0,0.0,1.0,0.0
Pe3c0fc5a9e,2022,,81.0,230.0,24.64654828791444,1.0,0.0,0.0,0.0,1.0,0.0
Pe54f989cc8,2022,,77.0,240.0,28.459554581446827,4.0,0.0,0.0,1.0,0.0,0.0
Pfa7a6f2536,2022,,82.0,250.0,26.140302633817647,1.0,0.0,0.0,0.0,1.0,1.0
P0035c2f0b3,2023,,80.0,215.0,23.618743691003008,1.0,0.0,1.0,0.0,0.0,0.0
P07bb9cb58f,2023,,77.0,240.0,28.459554581446827,4.0,0.0,1.0,1.0,0.0,0.0
P0b253c1504,2023,,77.0,185.0,21.9375733231986,2.0,0.0,1.0,0.0,0.0,0.0
P0db0d3c576,2023,,77.0,205.0,24.3092028716525,2.0,1.0,1.0,0.0,0.0,0.0
P144ed94c77,2023,,86.0,210.0,19.962765241241677,,0.0,0.0,0.0,0.0,1.0
P18c14dbf8f,2023,,79.0,225.0,25.34700455356688,3.0,0.0,0.0,1.0,1.0,0.0
P1999b4880f,2023,,79.0,215.0,24.220471017852795,1.0,1.0,1.0,0.0,0.0,0.0
P1e59a7a7a1,2023,,79.0,235.0,26.47353808928096,1.0,0.0,0.0,1.0,0.0,0.0
P26ad072598,2023,,74.0,195.0,25.036261510159985,4.0,1.0,1.0,0.0,0.0,0.0
P2a6c79e3dc,2023,,78.0,195.0,22.534281398691007,4.0,0.0,1.0,0.0,0.0,0.0
P2db6f2cc8f,2023,,82.0,210.0,21.957854212406822,1.0,0.0,0.0,1.0,1.0,0.0
P47a1cc70a3,2023,,81.0,215.0,23.039164703920022,3.0,0.0,0.0,1.0,1.0,0.0
P51e5ade0ce,2023,,74.0,195.0,25.036261510159985,1.0,1.0,0.0,0.0,0.0,0.0
P523c5eb5e6,2023,,76.0,185.0,22.51867594065867,1.0,0.0,1.0,0.0,0.0,0.0
P5698276a02,2023,,79.0,210.0,23.65720424999575,3.0,0.0,0.0,1.0,0.0,0.0
P6187cee451,2023,,78.0,235.0,27.156698095858392,1.0,0.0,0.0,1.0,1.0,0.0
P655613d84a,2023,,79.0,205.0,23.093937482138713,2.0,0.0,1.0,1.0,0.0,0.0
P659b205e3c,2023,,82.0,190.0,19.866630001701413,2.0,0.0,1.0,0.0,0.0,0.0
P664a2ede66,2023,,81.0,200.0,21.4317811199256,1.0,0.0,0.0,1.0,0.0,0.0
P6b4a74f110,2023,,77.0,185.0,21.9375733231986,2.0,0.0,1.0,0.0,0.0,0.0
P7075ac01b8,2023,,80.0,250.0,27.46365545465466,4.0,0.0,1.0,1.0,0.0,0.0
P71f8c1b48d,2023,,79.0,195.0,21.96740394642463,,0.0,1.0,1.0,0.0,0.0
P7200ebcdd8,2023,,81.0,215.0,23.039164703920022,1.0,0.0,0.0,0.0,1.0,0.0
P7589e6b4d5,2023,,74.0,190.0,24.394306086822546,4.0,1.0,1.0,0.0,0.0,0.0
P7bf5b1ca03,2023,,80.0,250.0,27.46365545465466,1.0,0.0,0.0,1.0,1.0,0.0
P89e5a35bc7,2023,,80.0,195.0,21.421651254630635,1.0,0.0,0.0,1.0,1.0,0.0
P9180c4596b,2023,,79.0,220.0,24.78373778570984,1.0,0.0,1.0,0.0,0.0,0.0
P9a144a10c5,2023,,82.0,210.0,21.957854212406822,1.0,0.0,0.0,0.0,1.0,1.0
P9aef7770b8,2023,,76.0,165.0,20.084224487614488,2.0,1.0,1.0,0.0,0.0,0.0
