pid,draft_year,source_id,publisher
P9540818d9f,2019,nbadraft_2019,nbadraft
P9b3e496395,2019,nbadraft_2019,nbadraft
Pa4c28f80ad,2019,nbadraft_2019,nbadraft
Pa9cae64430,2019,nbadraft_2019,nbadraft
Pab169ed872,2019,nbadraft_2019,nbadraft
Pb0f44d6b69,2019,nbadraft_2019,nbadraft
Pb14e5c1c97,2019,nbadraft_2019,nbadraft
Pb14f594f0a,2019,nbadraft_2019,nbadraft
Pb16e641fe9,2019,nbadraft_2019,nbadraft
Pb1eb09fa94,2019,nbadraft_2019,nbadraft
Pb69fbd28c6,2019,nbadraft_2019,nbadraft
Pbc4309c829,2019,nbadraft_2019,nbadraft
Pbea2d75e26,2019,nbadraft_2019,nbadraft
Pc3b8b90cf8,2019,nbadraft_2019,nbadraft
Pc53511377b,2019,nbadraft_2019,nbadraft
Pd17e70140c,2019,nbadraft_2019,nbadraft
Pd50729b5d0,2019,nbadraft_2019,nbadraft
Pd88f1bdac2,2019,nbadraft_2019,nbadraft
Ped6b9a1a7c,2019,nbadraft_2019,nbadraft
Peecc71d248,2019,nbadraft_2019,nbadraft
Pf1b3205a09,2019,nbadraft_2019,nbadraft
Pf450c7fe3d,2019,nbadraft_2019,nbadraft
Pfe4fcea486,2019,nbadraft_2019,nbadraft
P04526b8576,2020,nbadraft_2020_fallback,nbadraft
P076dcdb147,2020,nbadraft_2020_fallback,nbadraft
P08bc96e9be,2020,nbadraft_2020_fallback,nbadraft
P0cd98a270c,2020,nbadraft_2020_fallback,nbadraft
P1388f2fd26,2020,nbadraft_2020_fallback,nbadraft
P170284fab5,2020,nbadraft_2020_fallback,nbadraft
P173da90181,2020,nbadraft_2020_fallback,nbadraft
P1cf3ac09b1,2020,nbadraft_2020_fallback,nbadraft
P272ac40c3c,2020,nbadraft_2020_fallback,nbadraft
P289da7f9c1,2020,nbadraft_2020_fallback,nbadraft
P2b95cb9990,2020,nbadraft_2020_fallback,nbadraft
P32d7e7e1eb,2020,nbadraft_2020_fallback,nbadraft
P34a08a87d4,2020,nbadraft_2020_fallback,nbadraft
P35f0fb7731,2020,nbadraft_2020_fallback,nbadraft
P388cb0d5da,2020,nbadraft_2020_fallback,nbadraft
P3c885ec031,2020,nbadraft_2020_fallback,nbadraft
P3ff36ffdc1,2020,nbadraft_2020_fallback,nbadraft
P41612ab4e2,2020,nbadraft_2020_fallback,nbadraft
P429838957d,2020,nbadraft_2020_fallback,nbadraft
P48772fff87,2020,nbadraft_2020_fallback,nbadraft
P4cd6438cc3,2020,nbadraft_2020_fallback,nbadraft
P6142a39d2b,2020,nbadraft_2020_fallback,nbadraft
P6232d5a44f,2020,nbadraft_2020_fallback,nbadraft
P63236d3a70,2020,nbadraft_2020_fallback,nbadraft
P69f4c7679c,2020,nbadraft_2020_fallback,nbadraft
P716f6175e4,2020,nbadraft_2020_fallback,nbadraft
P7699b7f669,2020,nbadraft_2020_fallback,nbadraft
