pid,draft_year,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042
P96b57657ed,2023,12.9,2.25,1.08001722,0.9,0.3056,9.2,2.6944,41.0,36.0,47.2,0.5,306.0,153.0,0.27,126.0,34.0,2.1,0.794,50.5,36.0,159.0,85.0,34.1111,3.2,0.9167,16.1389,147.0,98.0,1.9,1.1111,0.2916666666666667,14.5,54.24,23.9,0.832258064516129,0.9032258064516128,4.278922953474302,0.16536,,,,,-0.250000000000029,0.655367231638418
P7589e6b4d5,2023,27.9,4.5938,2.72225189,0.2,0.0625,7.7,2.0938,0.0,0.0,52.8,0.454,194.0,88.0,0.4,200.0,80.0,2.4,0.79,26.6,32.0,140.0,78.9,33.6562,1.1,0.3125,15.5938,54.0,31.0,2.1,1.2188,0.5076142131979695,13.0,56.21,22.8,1.9928571428571427,0.6764705882352943,3.684116884348533,0.17388000000000006,48.0,48.0,,1.0,0.07142857142877063,0.5833333333333334
P737b0588be,2023,26.6,4.6944,2.38028585,1.8,0.5,16.7,4.3333,36.0,29.0,49.1,0.54,124.0,67.0,0.281,89.0,25.0,3.9,0.646,22.5,36.0,46.0,67.1,29.0833,7.6,1.8611,6.6667,78.0,52.0,2.2,1.0833,0.41784037558685444,24.1,50.89,16.5,1.0597609561752988,0.8163265306122448,2.5141159125794648,-0.03115000000000002,,,,,1.4000000000001929,0.6481481481481481
P07bb9cb58f,2023,13.5,2.1389,0.72642983,0.6,0.1944,17.8,5.3056,35.0,30.0,56.8,0.554,341.0,189.0,0.405,116.0,47.0,2.8,0.715,33.0,36.0,161.0,83.9,34.1389,5.4,1.5,17.4167,180.0,122.0,1.7,1.0278,0.2538293216630197,19.9,59.29,24.7,0.645933014354067,0.6052631578947368,3.5920745724050875,0.4366299999999999,51.0,51.0,,1.0,1.4000000000001123,0.6666666666666666
Paf99c23c4d,2023,5.5,0.7059,0.77418293,1.7,0.3529,16.2,3.0588,11.0,11.0,47.8,0.488,125.0,61.0,0.305,59.0,18.0,3.0,0.722,29.3,34.0,52.0,55.5,22.3824,5.7,1.1176,6.3235,73.0,47.0,1.2,0.4412,0.32065217391304346,16.2,51.28,15.1,0.31976744186046513,0.725,2.893294559737844,-0.06272000000000007,60.0,60.0,,1.0,,0.6310679611650486
Pc074e62881,2023,5.4,0.8611,1.0,2.0,0.5833,19.2,5.3333,12.0,9.0,57.5,0.533,137.0,73.0,0.4,230.0,92.0,2.8,0.807,29.7,36.0,56.0,75.9,31.7222,3.7,0.9167,14.1667,81.0,48.0,1.5,0.75,0.6267029972752044,8.0,60.89,21.1,0.6000000000000001,0.9210526315789475,3.7932876551944803,0.11979000000000017,44.0,44.0,,1.0,1.4700000000001052,0.5945945945945946
P7c2cc1d590,2023,14.1,2.6757,2.02046353,1.3,0.4054,14.0,4.1622,18.0,18.0,58.5,0.602,309.0,186.0,0.352,91.0,32.0,2.0,0.784,31.3,37.0,106.0,86.9,34.8919,7.2,2.0541,15.2973,203.0,139.0,2.0,1.2162,0.2275,11.1,61.61,20.0,1.1652892561983472,1.0999999999999999,3.791645015049959,0.0,,,,,0.10000000000019105,0.6738197424892703
P89e5a35bc7,2023,11.4,1.4375,1.12199496,2.9,0.5312,13.9,2.9062,16.0,13.0,44.0,0.466,146.0,68.0,0.239,46.0,11.0,2.9,0.822,61.5,32.0,56.0,53.2,24.0312,8.4,1.7812,8.3125,90.0,53.0,1.6,0.625,0.23958333333333334,16.7,53.62,19.5,0.6440677966101696,1.153846153846154,3.928439511337677,-0.018099999999999988,30.0,30.0,,1.0,,0.5916666666666667
P0db0d3c576,2023,20.8,3.6562,1.60275295,1.3,0.4688,21.0,6.9688,9.0,7.0,57.6,0.513,267.0,137.0,0.447,179.0,80.0,2.1,0.771,32.3,31.0,146.0,86.2,36.0,5.5,1.7812,19.875,121.0,75.0,2.8,1.7812,0.4013452914798206,14.0,60.75,25.5,1.3866666666666667,1.3225806451612903,3.837061715406263,0.59125,21.0,21.0,,1.0,7.6999999999969475,0.6158940397350994
Pbcdd20a9f9,2023,4.0,0.6667,0.48002015,0.5,0.1389,12.3,2.9722,40.0,38.0,57.8,0.624,178.0,111.0,0.339,115.0,39.0,3.2,0.735,51.5,36.0,37.0,71.6,29.0278,7.1,1.6944,12.5,141.0,97.0,1.8,0.9167,0.3924914675767918,14.0,61.69,19.8,0.26666666666666666,0.5476190476190476,3.692552182822013,-0.02337999999999991,,,,,0.7500000000000493,0.672514619883041
Pe1411c667e,2023,11.5,1.3077,0.67999586,3.2,0.8205,21.3,5.0513,34.0,28.0,62.7,0.637,405.0,258.0,0.365,52.0,19.0,4.0,0.766,28.0,39.0,144.0,66.5,26.5897,11.6,2.6154,17.2051,261.0,199.0,1.5,0.6923,0.1137855579868709,16.1,64.79,26.4,0.6725146198830408,0.9400000000000001,3.722616301741041,0.9465600000000002,49.0,49.0,,1.0,1.7500000000002691,0.7457044673539519
P2a6c79e3dc,2023,16.7,2.9062,1.32854854,0.5,0.1562,15.4,4.5938,7.0,6.0,56.0,0.514,257.0,132.0,0.416,190.0,79.0,2.4,0.694,27.7,31.0,109.0,85.4,34.25,2.3,0.625,18.8438,148.0,90.0,2.3,1.375,0.4250559284116331,14.2,58.02,26.8,1.0986842105263157,0.8235294117647058,3.350849733687797,0.5453600000000003,26.0,26.0,,1.0,3.5400000000004677,0.6067415730337079
P0e1f032d1f,2023,20.2,3.1944,1.23655786,5.4,1.5278,20.4,5.3056,45.0,43.0,59.8,0.607,219.0,133.0,0.385,96.0,37.0,3.8,0.774,52.1,33.0,73.0,77.2,30.6389,6.8,1.7778,15.5833,146.0,104.0,2.7,1.5278,0.3047619047619048,20.4,64.14,24.7,0.9439252336448598,1.6875000000000004,3.952001796799049,0.66458,,,,,3.51999999999962,0.6931818181818182
Pf9f33f79e7,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,46.0,,1.0,,
Pe356195976,2023,6.7,0.9167,0.89190508,2.0,0.4722,12.9,2.7222,22.0,17.0,47.9,0.51,145.0,74.0,0.278,72.0,20.0,4.8,0.712,30.4,36.0,54.0,60.8,24.3889,5.8,1.1944,7.0833,90.0,56.0,2.6,1.1111,0.3317972350230415,15.1,51.34,15.8,0.4161490683229813,0.793103448275862,2.9937411450063673,-0.056280000000000135,45.0,45.0,,1.0,,0.6166666666666667
P1424b0c02d,2023,8.2,1.4848,1.68957672,2.5,0.8182,16.4,4.7576,12.0,12.0,47.8,0.472,123.0,58.0,0.326,86.0,28.0,2.6,0.702,27.3,33.0,56.0,78.7,32.0606,6.1,1.7576,7.2727,67.0,43.0,2.3,1.2727,0.41148325358851673,12.4,50.83,12.8,0.6119402985074626,1.3333333333333333,2.850430993403586,-0.059759999999999876,,,,,-0.719999999999801,0.6288659793814433
P16bfe45561,2023,31.5,4.8438,1.64895321,1.9,0.5625,16.1,4.625,10.0,10.0,52.3,0.529,325.0,172.0,0.3,30.0,9.0,2.8,0.65,40.3,30.0,83.0,80.5,31.4375,5.8,1.6562,15.0625,242.0,136.0,1.3,0.75,0.08450704225352113,18.6,54.86,28.3,1.607142857142857,0.8421052631578948,3.2303786447244005,0.40338,,,,,4.000000000000996,0.5661764705882353
