pid,draft_year,source_id,source_url,archive_url,publication_date,capture_utc,body_sha256,feature_eligible,metric,value,unit
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_length_per1k,4.11522633744856,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_decisions_per1k,1.3717421124828533,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_effort_per1k,2.7434842249657065,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_development_per1k,4.11522633744856,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_injury_per1k,0.0,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_limitations_per1k,1.3717421124828533,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_efficiency_per1k,2.7434842249657065,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_pickroll_per1k,0.0,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_catchshoot_per1k,0.0,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_pullup_per1k,1.3717421124828533,literal matched terms per1000 words; not player grades
