season,game_id,date,team,opp,won,is_final4,is_final
2004-05,254000051,2005-03-17,Boston_College,Penn,1,0,0
2004-05,254000051,2005-03-17,Penn,Boston_College,0,0,0
2004-05,254000054,2005-03-17,LSU,UAB,0,0,0
2004-05,254000054,2005-03-17,UAB,LSU,1,0,0
2004-05,254000055,2005-03-17,Arizona,Utah_State,1,0,0
2004-05,254000055,2005-03-17,Utah_State,Arizona,0,0,0
2004-05,254000004,2005-03-18,G_Washington,Georgia_Tech,0,0,0
2004-05,254000004,2005-03-18,Georgia_Tech,G_Washington,1,0,0
2004-05,254000005,2005-03-18,Louisiana,Louisville,0,0,0
2004-05,254000005,2005-03-18,Louisville,Louisiana,1,0,0
2004-05,254000016,2005-03-18,Oakland,UNC,0,0,0
2004-05,254000016,2005-03-18,UNC,Oakland,1,0,0
2004-05,254000017,2005-03-18,Iowa_State,Minnesota,1,0,0
2004-05,254000017,2005-03-18,Minnesota,Iowa_State,0,0,0
2004-05,254000019,2005-03-18,New_Mexico,Villanova,0,0,0
2004-05,254000019,2005-03-18,Villanova,New_Mexico,1,0,0
2004-05,254000020,2005-03-18,Florida,Ohio,1,0,0
2004-05,254000020,2005-03-18,Ohio,Florida,0,0,0
2004-05,254000023,2005-03-18,Northern_Iowa,Wisconsin,0,0,0
2004-05,254000023,2005-03-18,Wisconsin,Northern_Iowa,1,0,0
2004-05,254000024,2005-03-18,Bucknell,Kansas,1,0,0
2004-05,254000024,2005-03-18,Kansas,Bucknell,0,0,0
2004-05,254000026,2005-03-18,Charlotte,NC_State,0,0,0
2004-05,254000026,2005-03-18,NC_State,Charlotte,1,0,0
2004-05,254000027,2005-03-18,UCF,UConn,0,0,0
2004-05,254000027,2005-03-18,UConn,UCF,1,0,0
2004-05,254000032,2005-03-18,Delaware_State,Duke,0,0,0
2004-05,254000032,2005-03-18,Duke,Delaware_State,1,0,0
2004-05,254000033,2005-03-18,Miss_St,Stanford,1,0,0
2004-05,254000033,2005-03-18,Stanford,Miss_St,0,0,0
2004-05,254000035,2005-03-18,Michigan_State,Old_Dominion,1,0,0
2004-05,254000035,2005-03-18,Old_Dominion,Michigan_State,0,0,0
2004-05,254000036,2005-03-18,Syracuse,Vermont,0,0,0
2004-05,254000036,2005-03-18,Vermont,Syracuse,1,0,0
2004-05,254000057,2005-03-18,S_Illinois,Saint_Mary's,1,0,0
2004-05,254000057,2005-03-18,Saint_Mary's,S_Illinois,0,0,0
2004-05,254000058,2005-03-18,Oklahoma_State,SE_Louisiana,1,0,0
2004-05,254000058,2005-03-18,SE_Louisiana,Oklahoma_State,0,0,0
2004-05,254000003,2005-03-19,Pacific,Washington,0,0,0
2004-05,254000003,2005-03-19,Washington,Pacific,1,0,0
2004-05,254000010,2005-03-19,Gonzaga,Texas_Tech,0,0,0
2004-05,254000010,2005-03-19,Texas_Tech,Gonzaga,1,0,0
2004-05,254000013,2005-03-19,Wake_Forest,West_Virginia,0,0,0
2004-05,254000013,2005-03-19,West_Virginia,Wake_Forest,1,0,0
2004-05,254000041,2005-03-19,Oklahoma,Utah,0,0,0
2004-05,254000041,2005-03-19,Utah,Oklahoma,1,0,0
2004-05,254000044,2005-03-19,Cincinnati,Kentucky,0,0,0
2004-05,254000044,2005-03-19,Kentucky,Cincinnati,1,0,0
2004-05,254000049,2005-03-19,Illinois,Nevada,1,0,0
2004-05,254000049,2005-03-19,Nevada,Illinois,0,0,0
2004-05,254000056,2005-03-19,Arizona,UAB,1,0,0
2004-05,254000056,2005-03-19,UAB,Arizona,0,0,0
2004-05,254000006,2005-03-20,Georgia_Tech,Louisville,0,0,0
2004-05,254000006,2005-03-20,Louisville,Georgia_Tech,1,0,0
2004-05,254000018,2005-03-20,Iowa_State,UNC,0,0,0
2004-05,254000018,2005-03-20,UNC,Iowa_State,1,0,0
2004-05,254000021,2005-03-20,Florida,Villanova,0,0,0
2004-05,254000021,2005-03-20,Villanova,Florida,1,0,0
2004-05,254000025,2005-03-20,Bucknell,Wisconsin,0,0,0
2004-05,254000025,2005-03-20,Wisconsin,Bucknell,1,0,0
2004-05,254000028,2005-03-20,NC_State,UConn,1,0,0
2004-05,254000028,2005-03-20,UConn,NC_State,0,0,0
2004-05,254000034,2005-03-20,Duke,Miss_St,1,0,0
2004-05,254000034,2005-03-20,Miss_St,Duke,0,0,0
2004-05,254000037,2005-03-20,Michigan_State,Vermont,1,0,0
2004-05,254000037,2005-03-20,Vermont,Michigan_State,0,0,0
2004-05,254000059,2005-03-20,Oklahoma_State,S_Illinois,1,0,0
2004-05,254000059,2005-03-20,S_Illinois,Oklahoma_State,0,0,0
2004-05,254000007,2005-03-24,Louisville,Washington,1,0,0
2004-05,254000007,2005-03-24,Washington,Louisville,0,0,0
2004-05,254000014,2005-03-24,Texas_Tech,West_Virginia,0,0,0
2004-05,254000014,2005-03-24,West_Virginia,Texas_Tech,1,0,0
2004-05,254000060,2005-03-24,Arizona,Oklahoma_State,1,0,0
2004-05,254000060,2005-03-24,Oklahoma_State,Arizona,0,0,0
2004-05,254000022,2005-03-25,UNC,Villanova,1,0,0
2004-05,254000022,2005-03-25,Villanova,UNC,0,0,0
2004-05,254000029,2005-03-25,NC_State,Wisconsin,0,0,0
2004-05,254000029,2005-03-25,Wisconsin,NC_State,1,0,0
2004-05,254000038,2005-03-25,Duke,Michigan_State,0,0,0
2004-05,254000038,2005-03-25,Michigan_State,Duke,1,0,0
2004-05,254000045,2005-03-25,Kentucky,Utah,1,0,0
2004-05,254000045,2005-03-25,Utah,Kentucky,0,0,0
2004-05,254000015,2005-03-26,Louisville,West_Virginia,1,0,0
2004-05,254000015,2005-03-26,West_Virginia,Louisville,0,0,0
2004-05,254000061,2005-03-26,Arizona,Illinois,0,0,0
2004-05,254000061,2005-03-26,Illinois,Arizona,1,0,0
2004-05,254000030,2005-03-27,UNC,Wisconsin,1,0,0
2004-05,254000030,2005-03-27,Wisconsin,UNC,0,0,0
2004-05,254000046,2005-03-27,Kentucky,Michigan_State,0,0,0
2004-05,254000046,2005-03-27,Michigan_State,Kentucky,1,0,0
2004-05,254000031,2005-04-02,Illinois,Louisville,1,1,0
2004-05,254000031,2005-04-02,Louisville,Illinois,0,1,0
2004-05,254000062,2005-04-02,Michigan_State,UNC,0,1,0
2004-05,254000062,2005-04-02,UNC,Michigan_State,1,1,0
2004-05,254000063,2005-04-04,Illinois,UNC,0,1,1
2004-05,254000063,2005-04-04,UNC,Illinois,1,1,1
2005-06,264000008,2006-03-16,Indiana,San_Diego_State,1,0,0
2005-06,264000008,2006-03-16,San_Diego_State,Indiana,0,0,0
2005-06,264000009,2006-03-16,Gonzaga,Xavier,1,0,0
2005-06,264000009,2006-03-16,Xavier,Gonzaga,0,0,0
2005-06,264000011,2006-03-16,Alabama,Marquette,1,0,0
2005-06,264000011,2006-03-16,Marquette,Alabama,0,0,0
2005-06,264000012,2006-03-16,Belmont,UCLA,0,0,0
2005-06,264000012,2006-03-16,UCLA,Belmont,1,0,0
2005-06,264000019,2006-03-16,Utah_State,Washington,0,0,0
2005-06,264000019,2006-03-16,Washington,Utah_State,1,0,0
2005-06,264000020,2006-03-16,Air_Force,Illinois,0,0,0
2005-06,264000020,2006-03-16,Illinois,Air_Force,1,0,0
2005-06,264000026,2006-03-16,Seton_Hall,Wichita_State,0,0,0
2005-06,264000026,2006-03-16,Wichita_State,Seton_Hall,1,0,0
2005-06,264000027,2006-03-16,Tennessee,Winthrop,1,0,0
2005-06,264000027,2006-03-16,Winthrop,Tennessee,0,0,0
2005-06,264000035,2006-03-16,Montana,Nevada,1,0,0
2005-06,264000035,2006-03-16,Nevada,Montana,0,0,0
2005-06,264000036,2006-03-16,Boston_College,Pacific,1,0,0
2005-06,264000036,2006-03-16,Pacific,Boston_College,0,0,0
2005-06,264000039,2006-03-16,Milwaukee,Oklahoma,1,0,0
2005-06,264000039,2006-03-16,Oklahoma,Milwaukee,0,0,0
2005-06,264000040,2006-03-16,Florida,South_Alabama,1,0,0
2005-06,264000040,2006-03-16,South_Alabama,Florida,0,0,0
2005-06,264000047,2006-03-16,Duke,Southern,1,0,0
2005-06,264000047,2006-03-16,Southern,Duke,0,0,0
2005-06,264000048,2006-03-16,G_Washington,UNC_Wilmington,1,0,0
2005-06,264000048,2006-03-16,UNC_Wilmington,G_Washington,0,0,0
2005-06,264000050,2006-03-16,Syracuse,Texas_A&M,0,0,0
2005-06,264000050,2006-03-16,Texas_A&M,Syracuse,1,0,0
2005-06,264000051,2006-03-16,Iona,LSU,0,0,0
2005-06,264000051,2006-03-16,LSU,Iona,1,0,0
2005-06,264000001,2006-03-17,Memphis,Oral_Roberts,1,0,0
2005-06,264000001,2006-03-17,Oral_Roberts,Memphis,0,0,0
2005-06,264000002,2006-03-17,Arkansas,Bucknell,0,0,0
2005-06,264000002,2006-03-17,Bucknell,Arkansas,1,0,0
2005-06,264000004,2006-03-17,Kent_State,Pitt,0,0,0
2005-06,264000004,2006-03-17,Pitt,Kent_State,1,0,0
2005-06,264000005,2006-03-17,Bradley,Kansas,1,0,0
2005-06,264000005,2006-03-17,Kansas,Bradley,0,0,0
2005-06,264000016,2006-03-17,Albany,UConn,0,0,0
2005-06,264000016,2006-03-17,UConn,Albany,1,0,0
2005-06,264000017,2006-03-17,Kentucky,UAB,1,0,0
2005-06,264000017,2006-03-17,UAB,Kentucky,0,0,0
2005-06,264000023,2006-03-17,George_Mason,Michigan_State,1,0,0
2005-06,264000023,2006-03-17,Michigan_State,George_Mason,0,0,0
2005-06,264000024,2006-03-17,Murray_State,UNC,0,0,0
2005-06,264000024,2006-03-17,UNC,Murray_State,1,0,0
2005-06,264000032,2006-03-17,Monmouth,Villanova,0,0,0
2005-06,264000032,2006-03-17,Villanova,Monmouth,1,0,0
2005-06,264000033,2006-03-17,Arizona,Wisconsin,1,0,0
2005-06,264000033,2006-03-17,Wisconsin,Arizona,0,0,0
2005-06,264000042,2006-03-17,Georgetown,Northern_Iowa,1,0,0
2005-06,264000042,2006-03-17,Northern_Iowa,Georgetown,0,0,0
