pid,draft_year,ordinal,season_end,war
P3e493925a2,2015,3,2018,-1.737548554
P9a02cf437c,2015,1,2016,0.03127928
P9a02cf437c,2015,2,2017,1.275579534
P9a02cf437c,2015,3,2018,3.718874129
Pb067831a66,2015,1,2016,0.610282045
Pb067831a66,2015,2,2017,0.451296847
Pb067831a66,2015,3,2018,0.353191785
Pf634b73f97,2015,1,2016,-0.075920123
Pf634b73f97,2015,2,2017,-0.034032871
Pf634b73f97,2015,3,2018,0.049560381
P1b292d5147,2015,1,2016,0.386356703
P1b292d5147,2015,2,2017,1.217511902
P1b292d5147,2015,3,2018,2.920790724
P0ba0d4e186,2015,1,2017,-1.19995119
P0ba0d4e186,2015,2,2018,1.222603424
Peda2227014,2015,1,2016,-0.16021864
Peda2227014,2015,2,2017,-0.094780753
Peda2227014,2015,3,2018,-0.464630369
P16f77dc0c6,2015,1,2016,0.574753587
P16f77dc0c6,2015,2,2017,1.760251713
P16f77dc0c6,2015,3,2018,5.35095193
P3cfad83e39,2015,1,2016,0.035134061
P3cfad83e39,2015,2,2017,-0.081684149
P3cfad83e39,2015,3,2018,0.007102981
P94d904f95a,2015,1,2016,0.009066483
P94d904f95a,2015,2,2017,1.658242341
P94d904f95a,2015,3,2018,0.814566641
P67cf99c3eb,2015,1,2016,-0.817872468
P67cf99c3eb,2015,2,2017,-0.06933644
P67cf99c3eb,2015,3,2018,-0.869890198
P5a591d3e24,2015,1,2016,5.559972261
P5a591d3e24,2015,2,2017,6.963363989
P5a591d3e24,2015,3,2018,10.29421777
Pe7f5f31a46,2015,1,2016,0.24045215
Pe7f5f31a46,2015,2,2017,0.372865274
Pe7f5f31a46,2015,3,2018,0.310525102
Pc3390f55d0,2015,1,2016,2.81258991
Pc3390f55d0,2015,2,2017,-0.048485531
Pc3390f55d0,2015,3,2018,2.550680038
P9b0b27ae5d,2015,1,2016,0.660733918
P9b0b27ae5d,2015,2,2017,-0.682820887
P9b0b27ae5d,2015,3,2018,0.916987533
Ped4ca8f8d6,2015,1,2016,-0.30540073
