pid,draft_year,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
Pabb4255b19,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P581e368d46,2010,34.0,47.1,24.4,65.4,63.82,16.6,15.3,5.1,20.4,75.0,135.0,0.556,140.0,214.0,0.654,0.0,0.0,0.0,8.9,1.0,63.1,5.6,0.28333427,105.0,143.0,35.0,71.0,40.0,42.0,19.0588,2.9706,2.8824,0.5,0.3529,1.8529,10.4412,0.0,1.5000000000000002,0.2383177570093458,0.6080799999999997,2.7314361164692453
P830611c613,2010,31.0,65.6,24.9,51.0,53.55,12.0,24.0,1.8,16.4,101.0,170.0,0.594,143.0,284.0,0.504,3.0,5.0,0.6,18.3,1.2,58.8,3.8,0.11864228,77.0,107.0,66.0,177.0,40.0,41.0,26.5484,2.7742,6.129,0.2258,0.5484,5.2581,12.7742,0.0173010380622837,4.0625,0.1034482758620689,0.1739499999999998,3.05414815256258
P815e63680a,2010,33.0,86.4,26.4,50.8,53.24,2.7,7.7,29.8,20.8,79.0,115.0,0.687,193.0,360.0,0.536,17.0,70.0,0.243,0.9,1.4,26.7,2.0,1.63967181,84.0,126.0,109.0,234.0,7.0,9.0,34.8182,0.7879,2.5455,5.5152,0.8485,0.3636,15.6364,0.1627906976744186,0.7666666666666666,1.3669724770642202,0.20736,3.2657164612900726
Pe97fa79993,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P96ac6f0cd3,2010,35.0,83.3,27.7,48.4,52.01,7.0,24.6,29.3,18.7,130.0,199.0,0.653,154.0,331.0,0.465,39.0,108.0,0.361,1.6,2.2,45.3,2.3,1.53846676,117.0,187.0,37.0,143.0,16.0,19.0,33.5714,2.1429,7.1429,4.5714,1.2571,0.4286,15.8571,0.2460136674259681,1.1515151515151516,1.487309644670051,0.1547699999999998,3.459801240355868
P7a82e40751,2010,35.0,81.2,18.7,60.3,63.19,2.0,8.8,23.9,25.6,66.0,81.0,0.815,32.0,56.0,0.571,98.0,241.0,0.407,0.8,3.4,27.3,2.7,1.74489297,14.0,24.0,16.0,30.0,1.0,1.0,32.4857,0.5143,2.8571,4.8857,1.9714,0.2286,12.1143,0.8114478114478114,1.135135135135135,0.8984962406015037,-0.17147,3.5914761865203664
P27a3420564,2010,32.0,90.3,31.0,51.9,56.04,7.9,20.6,19.6,13.6,179.0,257.0,0.696,219.0,420.0,0.521,29.0,86.0,0.337,2.3,2.6,50.8,2.2,1.07224916,126.0,186.0,93.0,233.0,27.0,32.0,36.25,2.5312,6.2188,2.7812,1.5938,0.7812,22.0,0.1699604743083003,1.53125,1.3424657534246576,0.6644,3.8648598711054456
Pe03992058c,2010,36.0,77.9,22.1,58.2,59.65,10.7,23.1,6.2,16.6,128.0,210.0,0.61,184.0,316.0,0.582,0.0,0.0,0.0,14.3,1.2,66.5,3.1,0.45071492,120.0,169.0,64.0,147.0,54.0,58.0,31.5,2.9722,7.2778,0.8889,0.6667,4.7222,13.7778,0.0,3.780487804878049,0.3522727272727272,0.2026500000000001,3.2646334614204005
P966e81614a,2010,34.0,75.1,20.6,46.2,52.69,9.5,18.0,14.7,19.4,117.0,152.0,0.77,141.0,285.0,0.495,3.0,30.0,0.1,2.2,1.9,48.3,1.9,1.10666851,90.0,136.0,51.0,149.0,10.0,10.0,34.1471,2.9118,5.1765,2.4412,1.0588,0.6765,12.0,0.0952380952380952,1.4137931034482758,0.7205882352941176,0.01614,3.8734371994721752
Pe82bc0553e,2010,35.0,64.6,26.0,52.3,54.11,13.2,21.7,3.6,18.2,124.0,219.0,0.566,168.0,320.0,0.525,0.0,1.0,0.0,5.7,1.0,68.2,3.2,0.19738418,117.0,164.0,51.0,156.0,45.0,53.0,25.9143,3.0,5.5714,0.4286,0.4571,1.4,13.1429,0.0031152647975077,1.5952380952380951,0.1875,0.2465999999999999,3.0527931912354367
P3d55371834,2010,32.0,63.8,22.2,53.4,59.63,11.6,15.7,4.4,19.7,108.0,136.0,0.794,133.0,249.0,0.534,0.0,0.0,0.0,10.4,1.4,54.6,3.7,0.26230195,83.0,114.0,50.0,135.0,38.0,41.0,25.625,2.4688,3.7188,0.5,0.625,2.3438,11.6875,0.0,2.5106382978723403,0.2125603864734299,0.21186,3.906464855107531
Pc62b6f4e46,2010,30.0,69.9,31.8,50.6,55.19,8.3,24.2,11.8,10.6,140.0,178.0,0.787,219.0,426.0,0.514,25.0,81.0,0.309,2.1,0.9,35.1,2.8,0.8703889,113.0,171.0,106.0,255.0,10.0,12.0,32.9667,2.2333,6.8667,1.5667,0.4667,0.6667,21.7667,0.1597633136094674,0.7894736842105263,1.017241379310345,0.6124199999999997,4.082472629196674
P989e9714fc,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pec2bc35d4f,2010,21.0,53.6,29.6,50.0,56.73,2.4,9.6,28.2,23.6,101.0,127.0,0.795,76.0,145.0,0.524,30.0,97.0,0.309,0.2,1.8,52.5,2.9,1.07499674,49.0,84.0,27.0,61.0,1.0,2.0,31.9048,0.6667,2.619,4.0952,1.0,0.0476,16.3333,0.4008264462809917,0.5128205128205129,1.146341463414634,0.6460799999999998,3.857364059816096
Pbbec177bac,2010,34.0,65.3,17.3,65.6,66.82,13.5,17.8,5.9,14.0,64.0,93.0,0.688,134.0,199.0,0.673,3.0,12.0,0.25,7.2,1.9,44.1,4.4,0.69446545,113.0,139.0,21.0,60.0,61.0,64.0,26.5,2.9706,3.9412,0.7353,0.8235,1.7941,10.0294,0.0568720379146919,1.6851851851851851,0.3933333333333333,-0.4541399999999997,3.1257868102017623
Pe6ceea2b5e,2010,31.0,70.3,16.7,58.2,59.7,9.3,17.2,3.2,17.5,72.0,117.0,0.615,113.0,194.0,0.582,0.0,0.0,0.0,14.6,0.9,60.3,4.0,0.29547697,95.0,131.0,18.0,63.0,66.0,73.0,28.2258,2.3548,4.6452,0.4194,0.4194,4.4839,9.6129,0.0,3.1,0.1729729729729729,-0.3201000000000002,2.933971044046384
P6ff85cb7e1,2010,27.0,53.9,27.3,57.5,59.84,12.0,21.7,9.0,22.2,80.0,119.0,0.672,144.0,246.0,0.585,4.0,15.0,0.267,3.6,2.1,45.6,4.6,0.38959989,85.0,123.0,59.0,123.0,11.0,11.0,26.6667,2.6667,5.4074,1.1111,0.963,0.8519,14.0741,0.057471264367816,1.017857142857143,0.3879310344827586,0.7183200000000004,3.217194451149535
P544c115a68,2010,31.0,54.8,18.3,49.1,51.58,9.9,10.0,10.1,23.2,46.0,77.0,0.597,82.0,167.0,0.491,0.0,0.0,0.0,2.6,1.5,46.1,2.6,0.68623872,45.0,71.0,37.0,96.0,5.0,5.0,22.7097,1.871,2.0968,1.129,0.5806,0.5161,6.7742,0.0,1.1388888888888888,0.4173553719008264,-0.0268599999999999,2.600955169533686
P19913201dd,2010,34.0,85.9,23.6,51.5,56.22,3.3,11.7,29.6,16.6,117.0,151.0,0.775,130.0,251.0,0.518,47.0,138.0,0.341,2.0,1.6,38.8,2.0,2.0256745,68.0,107.0,62.0,144.0,10.0,10.0,34.3529,0.9412,3.7647,4.6471,0.9412,0.7353,15.2353,0.3547557840616966,1.2,1.6818181818181817,0.22392,3.893507403655864
P76dbb66d26,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb486223088,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4570803785,2010,36.0,81.9,23.1,50.7,55.85,0.8,5.6,24.4,17.7,118.0,138.0,0.855,115.0,245.0,0.469,70.0,189.0,0.37,0.2,1.9,31.8,2.0,1.89411715,61.0,108.0,54.0,137.0,0.0,0.0,32.9722,0.2222,1.8611,4.4722,1.0833,0.0556,15.5,0.4354838709677419,0.7000000000000001,1.3048128342245988,0.1813500000000001,4.2189752128267415
P11d27a665c,2010,33.0,72.5,26.2,52.4,57.56,12.2,14.7,8.5,18.9,154.0,218.0,0.706,176.0,336.0,0.524,0.0,0.0,0.0,4.1,1.2,64.9,3.6,0.4756117,126.0,180.0,50.0,155.0,35.0,41.0,29.3333,3.2121,3.7879,1.1818,0.6061,1.1212,15.3333,0.0,1.1521739130434785,0.4271356783919598,0.4687200000000001,3.8046846412504496
P467d53ba82,2010,29.0,51.5,18.2,45.2,48.89,2.5,9.7,25.3,26.6,30.0,38.0,0.789,64.0,136.0,0.471,7.0,29.0,0.241,0.2,2.1,23.0,2.1,1.6949128,,,,,,,22.0,0.4828,2.1724,3.4483,0.8621,0.0345,6.1724,0.1757575757575757,0.7419354838709679,0.9166666666666666,0.0199799999999999,2.890550138796291
Pebc69ca1f1,2010,35.0,82.0,20.5,51.1,53.4,10.5,19.4,9.3,14.5,110.0,184.0,0.598,185.0,361.0,0.512,0.0,1.0,0.0,3.0,0.9,50.8,2.3,0.95162023,,,,,,,34.5714,3.1429,6.8571,1.6857,0.5429,1.1429,13.7143,0.0027624309392265,1.181818181818182,0.6000000000000001,0.0169999999999999,3.121772783396838
Pcdba4ddbae,2010,33.0,74.4,17.8,50.4,56.49,9.1,20.7,4.2,12.0,105.0,138.0,0.761,128.0,253.0,0.506,0.0,1.0,0.0,6.8,0.9,54.3,3.2,0.59463078,,,,,,,30.0,2.6061,5.7576,0.6667,0.4545,2.0909,10.9394,0.0039370078740157,1.8333333333333333,0.3230769230769231,-0.14278,3.755134663112457
