pid,draft_year,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
Pa3f9e715ae,2012,30.0,51.4,17.1,56.6,58.06,12.3,13.5,5.0,20.0,38.0,60.0,0.633,98.0,173.0,0.566,0.0,0.0,0.0,13.0,1.2,34.7,4.5,0.48838344,78.0,108.0,20.0,65.0,45.0,51.0,25.4333,2.6667,3.1667,0.7,0.5,2.9333,7.8,0.0,2.5818181818181816,0.238095238095238,-0.2337399999999999,2.602183156021706
P6d4d3ba13b,2012,35.0,80.9,23.6,62.0,65.58,1.7,8.2,8.4,12.0,128.0,153.0,0.837,83.0,153.0,0.542,134.0,305.0,0.439,1.0,1.5,33.4,1.4,0.76365026,47.0,64.0,36.0,89.0,1.0,1.0,33.6286,0.4571,2.4286,1.2,0.8286,0.3143,19.8857,0.665938864628821,1.0416666666666667,0.6461538461538462,0.5608800000000002,4.2159293282202075
P31e884be2b,2012,35.0,85.9,25.3,50.2,56.28,3.5,9.6,15.7,18.3,193.0,263.0,0.734,144.0,287.0,0.502,49.0,146.0,0.336,1.3,4.1,60.7,2.8,0.98037266,119.0,189.0,25.0,98.0,31.0,35.0,35.0857,1.0286,2.8286,2.8571,2.5714,0.4286,17.9429,0.3371824480369515,1.4210526315789471,0.8134715025906735,0.3328400000000001,4.092746641709396
P52c65c114a,2012,35.0,75.3,32.1,45.3,48.83,8.0,9.8,24.5,21.8,154.0,264.0,0.583,189.0,391.0,0.483,9.0,56.0,0.161,1.2,3.5,59.1,3.5,0.98485972,134.0,232.0,55.0,159.0,17.0,20.0,30.3429,2.2857,2.7429,3.7143,1.8857,0.3714,15.9714,0.1252796420581655,1.0444444444444445,1.0745614035087718,-0.1415700000000002,3.2529824885499674
P4bc4764e2a,2012,34.0,50.9,17.6,61.0,62.05,16.6,22.7,5.1,20.0,48.0,76.0,0.632,89.0,146.0,0.61,0.0,0.0,0.0,4.2,1.5,52.1,4.5,0.42855988,65.0,91.0,24.0,55.0,26.0,31.0,20.5,2.9118,4.2059,0.5294,0.5294,0.9412,6.6471,0.0,1.0363636363636364,0.2428571428571428,-0.2891999999999998,2.7452850266115285
P8d6fb61ea0,2012,30.0,79.5,23.6,56.1,60.96,12.2,21.7,7.0,17.5,124.0,159.0,0.78,172.0,310.0,0.555,8.0,18.0,0.444,2.1,1.4,48.5,2.5,0.47947232,121.0,164.0,51.0,146.0,62.0,66.0,35.7667,3.6667,6.8,1.1667,0.8333,0.7667,16.4,0.0548780487804878,1.0,0.3783783783783784,0.3945600000000002,3.958635575882385
Pd2430f6dfc,2012,32.0,66.6,22.6,51.0,53.61,10.8,18.6,8.8,14.4,71.0,102.0,0.696,169.0,328.0,0.515,10.0,33.0,0.303,2.1,1.7,28.3,3.1,0.75922966,92.0,132.0,77.0,196.0,41.0,44.0,30.9062,2.6875,5.0312,1.2812,0.875,0.5938,13.7188,0.0914127423822714,0.926829268292683,0.5714285714285715,0.09386,3.225771375807826
P838aeb9cb6,2012,40.0,81.4,21.0,44.9,49.08,1.6,6.7,25.5,23.8,85.0,119.0,0.714,119.0,272.0,0.438,26.0,80.0,0.325,0.8,1.7,33.8,2.8,1.75229367,86.0,155.0,33.0,117.0,7.0,7.0,32.575,0.425,2.1,4.775,0.925,0.275,10.025,0.2272727272727272,0.6578947368421053,1.0282258064516128,-0.0092,3.4182691043463804
Pc6c9992e46,2012,26.0,41.4,25.7,53.9,56.7,13.0,17.4,2.9,22.7,84.0,139.0,0.604,89.0,165.0,0.539,0.0,0.0,0.0,9.0,1.1,84.2,5.4,0.13793259,78.0,106.0,11.0,59.0,31.0,32.0,23.1923,2.3846,3.5385,0.3077,0.4231,2.0,10.0769,0.0,1.5781249999999998,0.1223628691983122,0.3819000000000001,2.9847520232560196
Pc0b16a51f2,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
