pid,draft_year,asap_id,n_asap_ids_same_name,n_identity_same_name
P0ca52587ca,2018,35202,1,1
P6786e0dd88,2018,29996,1,1
P1a46c41bff,2018,32843,1,1
Pa129b1725d,2018,32713,1,1
Peef8948765,2018,32308,1,1
P1597c7370a,2018,30893,1,1
Paa92a86ff3,2018,32988,1,1
P3e655a07ed,2018,33228,1,1
Pb5f59c2405,2018,29898,1,1
P004efe3965,2018,30491,1,1
Pb88771c23a,2018,26118,1,1
Pf5a8190f4f,2018,28621,1,1
Pf3d3c05896,2018,30621,1,1
Pf3241f5074,2018,24998,1,1
P9bb134b52c,2018,32842,2,1
P9bb134b52c,2018,26644,2,1
P3f77f707c0,2018,33150,1,1
Pa08fe4841f,2018,35064,1,1
Pfc813e5d63,2018,30571,1,1
Pa5c483aef9,2018,30553,1,1
P67e5a8f825,2018,32824,1,1
P64a44986ea,2018,30899,1,1
P2b78ea748d,2018,28617,1,1
P8c5417b762,2018,34256,1,1
Pb779a9fa56,2018,32872,1,1
P88accb87c9,2018,30813,1,1
Pf2fe8710f7,2018,28620,1,1
P61e8cd7d80,2018,30693,1,1
P98ab129fa2,2018,32871,1,1
Pc317d28310,2018,30563,1,1
P87c0df2ff6,2018,30558,1,1
Pda6183deac,2018,24937,1,1
P4c0563638d,2018,30754,1,1
Pdd2dc8d5b8,2018,32967,1,1
Pfa8477edf9,2018,28571,1,1
Pdda77ad869,2018,33110,2,1
Pdda77ad869,2018,26668,2,1
P4e98315e7d,2018,35080,1,1
Pefe5f00afd,2018,25124,1,1
P4098a4e5cd,2018,28314,1,1
Pde1bad3875,2018,26524,1,1
P8843180e2e,2018,33075,1,1
Pb10189ae74,2018,33167,1,1
P82f3368572,2018,35082,1,1
P4294404a76,2018,30783,1,1
P8c68a86e22,2018,30599,1,1
P5c0dd77b3d,2018,44587,1,1
P9ce3123e64,2018,33308,1,1
Pd125ec3ee3,2018,20637,1,1
Pe0f4e51abf,2018,27800,1,1
Pd1f1ba6351,2018,35043,1,1
P212def8838,2018,34823,1,1
P480c7bd367,2018,29895,1,1
P665ee60687,2018,32917,1,1
P16c24a4b1f,2018,30840,1,1
P4d3e8e1430,2018,33247,1,2
P4ebe015218,2018,32878,1,1
P00e7133fc6,2019,36804,1,1
Pfe4fcea486,2019,36900,1,1
Pa9cae64430,2019,36803,1,1
P846172a369,2019,36966,1,1
P297d12820e,2019,37658,1,1
Pbc4309c829,2019,35109,1,1
P43dec358d1,2019,36786,1,1
Ped6b9a1a7c,2019,37661,1,1
Pbea2d75e26,2019,36250,1,1
P2f61c21e93,2019,36244,1,1
Pb14f594f0a,2019,30481,1,1
P4a79c6caeb,2019,34915,2,1
P4a79c6caeb,2019,46638,2,1
P4ebfdd4833,2019,36361,1,1
P714602a9aa,2019,36013,1,1
P9540818d9f,2019,37662,1,1
P7c5888ec9d,2019,36869,1,1
P6f1d3c64d2,2019,36774,1,1
P5277c76d51,2019,37664,1,1
P9b3e496395,2019,37663,1,1
P4832cf3ea3,2019,34854,1,1
Peecc71d248,2019,37001,1,1
P023bbe5ec1,2019,34924,1,1
Pb16e641fe9,2019,34923,1,1
P6a5f6ac2d8,2019,37055,1,1
Pf1b3205a09,2019,36879,1,1
P8209ad6040,2019,35137,1,1
Pefa2378416,2019,35155,1,1
Pa4c28f80ad,2019,36360,1,1
Pba03162225,2019,37665,1,1
Pe661d7acde,2019,36735,1,1
Pd17e70140c,2019,34886,1,1
P14a01dedf9,2019,32309,1,1
P5cd98708f1,2019,36903,1,1
P1ddfe32e8c,2019,35052,1,1
P027da49c30,2019,37667,1,1
P2f4b26e6e1,2019,34932,1,1
P6336d0d324,2019,32801,1,1
P7ff4af5e7c,2019,35201,1,1
P2084d7c5fc,2019,32856,1,1
Pab169ed872,2019,36772,1,1
P273938bb97,2019,37669,1,1
P90a39c14ab,2019,34738,1,1
P5c11762ec9,2019,36762,1,1
Pd50729b5d0,2019,36924,1,1
P18facb688d,2019,33246,1,1
P4797fb50d3,2019,32820,1,1
P277650e4b3,2019,35081,1,1
Pf6db5ed983,2019,34356,1,1
P338a42b9d0,2019,34927,1,1
P224fa713e4,2019,30844,1,1
Pb69fbd28c6,2019,32835,1,1
P2c24c6affb,2019,34947,1,1
Pd88f1bdac2,2019,36894,1,1
P8a97dbabe6,2019,36129,1,1
P8eb153b63d,2019,26756,1,2
P75585aef52,2019,32320,1,1
P84a6c851a9,2019,28584,1,1
P9537391b0e,2019,35053,1,1
Pf6658be174,2019,34885,1,1
P519f028bfb,2019,32815,1,1
P4f7a1b04a6,2019,46642,1,1
P47c5a2733b,2019,32970,1,1
Pc3b8b90cf8,2019,36936,1,1
P60e6add6f8,2019,32315,1,1
Pa9b6b7ec3f,2019,34479,1,1
Pbec5e357b6,2019,38731,1,1
P2061b46d22,2019,29700,1,1
P9406d39f17,2019,42135,1,1
P63de5d6c2a,2019,40458,1,1
Pd00fce6a5a,2019,36796,1,1
