pid,rsci_top100,rsci_rank,rsci_n_ranked,rsci_n_services,rsci_frac_ranked,rsci_best,rsci_worst,rsci_range,rsci_std,rsci_total_norm,rsci_chg,rsci_avg,rsci_dev,hs_height_in,hs_pos_code,hs_to_nba,hs_prep_5th,hs_years_to_draft
Pb52cacc824,1,73,2,6,0.333,25.0,26.0,1.0,0.5,0.2525,0.0,,,84,5,0,1,5
P846172a369,1,74,5,6,0.833,59.0,92.0,33.0,11.92,0.2492,14.0,,,79,3,0,0,3
Pd74e65b4cd,1,79,5,6,0.833,64.0,89.0,25.0,8.8,0.204,-11.0,,,78,3,0,0,5
P719eb17c3d,1,80,6,6,1.0,77.0,87.0,10.0,3.91,0.1957,-6.0,81.0,4.1,80,4,0,0,5
P03938af6ae,1,83,5,6,0.833,55.0,97.0,42.0,13.95,0.1906,3.0,,,73,1,0,0,3
P9cb019ad12,1,86,4,6,0.667,44.0,96.0,52.0,20.04,0.1722,0.0,,,74,2,0,0,5
P8534216773,1,87,5,6,0.833,56.0,96.0,40.0,17.04,0.1706,2.0,,,71,1,0,0,3
P5cd98708f1,1,70,3,5,0.6,53.0,71.0,18.0,7.72,0.245,7.0,,,,5,0,0,2
Pcf11d56327,1,94,4,6,0.667,74.0,91.0,17.0,6.18,0.1154,3.0,,,78,3,0,0,5
P8c6b1e4de6,1,100,5,6,0.833,81.0,100.0,19.0,7.55,0.0903,-17.0,,,73,1,0,0,5
P42b9d239c3,1,1,5,5,1.0,1.0,2.0,1.0,0.49,1.0,0.0,1.0,0.5,82,4,0,0,1
P17f11f33c2,1,2,5,5,1.0,1.0,3.0,2.0,0.75,0.996,0.0,2.0,0.8,80,3,0,0,1
P55d017c927,1,3,5,5,1.0,2.0,5.0,3.0,1.02,0.9799,-2.0,4.0,1.3,84,5,0,0,1
P35e592001a,1,4,5,5,1.0,3.0,6.0,3.0,1.1,0.9739,-1.0,4.0,0.6,83,5,0,0,1
Pa08fe4841f,1,5,5,5,1.0,4.0,8.0,4.0,1.41,0.9538,-1.0,7.0,1.3,74,1,0,0,1
P4467431c36,1,6,5,5,1.0,4.0,8.0,4.0,1.47,0.9518,1.0,7.0,1.7,73,2,0,0,1
P6f990ff013,1,7,5,5,1.0,5.0,10.0,5.0,1.85,0.9478,-3.0,7.0,2.4,82,4,0,0,1
Pd064221ae2,1,8,5,5,1.0,6.0,11.0,5.0,1.62,0.9277,-2.0,9.0,2.1,84,5,0,0,1
Pae17b87a4a,1,9,5,5,1.0,6.0,27.0,21.0,7.86,0.8996,13.0,8.0,1.3,82,4,0,0,1
P946b6a7bec,1,10,5,5,1.0,10.0,18.0,8.0,3.12,0.8916,-1.0,12.0,4.0,80,3,0,0,1
P212def8838,1,11,5,5,1.0,9.0,16.0,7.0,2.64,0.8815,-3.0,14.0,2.1,83,5,0,0,1
Pcabff956fe,1,12,5,5,1.0,12.0,18.0,6.0,2.06,0.8695,1.0,14.0,1.3,78,3,0,0,1
P3e065b4b4e,1,13,5,5,1.0,9.0,21.0,12.0,4.43,0.8635,7.0,14.0,4.2,80,4,0,0,1
P4a79c6caeb,1,14,5,5,1.0,12.0,19.0,7.0,2.23,0.8614,1.0,15.0,2.9,79,4,0,0,2
P9106a597f3,1,14,5,5,1.0,8.0,21.0,13.0,4.62,0.8614,-3.0,16.0,5.6,76,2,0,0,1
P4a4f2b1371,1,16,5,5,1.0,13.0,21.0,8.0,3.19,0.8514,1.0,17.0,3.9,79,3,0,0,2
P5e4a09f56c,1,17,5,5,1.0,13.0,23.0,10.0,3.63,0.8434,4.0,16.0,2.6,76,2,0,0,1
P2b95cb9990,1,18,5,5,1.0,15.0,20.0,5.0,1.6,0.8414,-4.0,17.0,1.0,83,5,0,0,3
Pb1eb09fa94,1,20,5,5,1.0,17.0,26.0,9.0,3.31,0.8052,-2.0,22.0,3.5,79,3,0,0,2
Pd4282e2cb6,1,20,5,5,1.0,10.0,30.0,20.0,7.03,0.8052,-1.0,24.0,5.8,74,1,0,0,1
Pb0f44d6b69,1,22,5,5,1.0,20.0,26.0,6.0,2.06,0.7892,7.0,23.0,2.6,73,1,0,0,2
P1f2e422e9e,1,23,5,5,1.0,19.0,33.0,14.0,4.67,0.7691,1.0,26.0,4.9,72,1,0,0,4
P72048f0a4a,1,24,5,5,1.0,24.0,35.0,11.0,3.82,0.7249,-1.0,30.0,3.8,76,2,0,0,4
Pf091cf9935,1,25,5,5,1.0,22.0,34.0,12.0,3.97,0.7209,5.0,28.0,4.1,82,4,0,0,6
P2dd8b69701,1,26,5,5,1.0,24.0,36.0,12.0,4.69,0.7129,1.0,31.0,5.9,73,1,0,0,3
P3da5d3f3f2,1,28,5,5,1.0,22.0,46.0,24.0,8.49,0.7028,3.0,33.0,10.2,77,2,0,0,4
P50c2524b85,1,30,5,5,1.0,20.0,41.0,21.0,7.12,0.6787,13.0,33.0,8.9,76,1,0,0,1
P6a7cb1d3a8,1,31,5,5,1.0,24.0,46.0,22.0,7.28,0.6486,22.0,36.0,9.3,73,2,0,0,4
Pa99e47f62c,1,31,5,5,1.0,25.0,49.0,24.0,8.24,0.6486,18.0,38.0,10.0,76,2,0,0,4
P6f1d3c64d2,1,33,5,5,1.0,21.0,60.0,39.0,12.72,0.6365,6.0,38.0,16.4,77,2,0,0,2
P030ee18cdd,1,34,5,5,1.0,33.0,43.0,10.0,3.2,0.6285,0.0,37.0,2.9,77,2,0,0,4
P2f4b26e6e1,1,36,5,5,1.0,31.0,47.0,16.0,7.01,0.6124,0.0,39.0,8.2,82,5,0,0,2
Pf6db5ed983,1,38,5,5,1.0,34.0,53.0,19.0,6.79,0.6044,-1.0,42.0,7.9,71,1,0,0,2
Pac3967f922,1,40,5,5,1.0,37.0,46.0,9.0,3.29,0.5924,-15.0,43.0,4.0,82,5,0,0,4
Pd17e70140c,1,41,5,5,1.0,29.0,63.0,34.0,11.81,0.5863,44.0,42.0,15.2,79,3,0,0,2
P8a6f0b4919,1,45,5,5,1.0,40.0,52.0,12.0,4.31,0.5442,-4.0,46.0,5.2,78,3,0,0,6
P8ecb19c544,1,46,3,5,0.6,11.0,11.0,0.0,0.0,0.5422,-36.0,11.0,6.4,77,2,0,1,1
Pcf6cf087a0,1,47,5,5,1.0,31.0,66.0,35.0,14.61,0.5341,-15.0,52.0,16.3,74,1,0,0,4
P7c5888ec9d,1,48,5,5,1.0,42.0,59.0,17.0,6.24,0.5201,8.0,49.0,7.9,79,4,0,0,2
Pa9f698b274,1,49,5,5,1.0,40.0,56.0,16.0,5.74,0.51,1.0,51.0,7.3,80,3,0,0,3
Pba95727095,1,51,5,5,1.0,36.0,67.0,31.0,10.44,0.4659,3.0,54.0,13.2,80,5,0,0,4
P4583d7bf3c,1,52,5,5,1.0,45.0,61.0,16.0,5.31,0.4639,-4.0,54.0,6.7,75,2,0,0,4
P007123cefb,1,53,3,5,0.6,25.0,26.0,1.0,0.47,0.4558,0.0,,,82,4,0,0,3
P71399e9935,1,54,5,5,1.0,41.0,70.0,29.0,10.23,0.4458,-3.0,56.0,13.2,77,1,0,0,4
Pc09cd8c6d0,1,57,5,5,1.0,38.0,77.0,39.0,15.51,0.3936,0.0,59.0,18.1,77,3,0,0,3
P2c8aa67899,1,58,5,5,1.0,47.0,74.0,27.0,8.66,0.3896,-18.0,62.0,11.1,73,1,0,0,4
P5fdfb73e8f,1,59,4,5,0.8,42.0,72.0,30.0,11.37,0.3795,-13.0,,,79,3,0,0,3
P4e2fe9e886,1,61,5,5,1.0,56.0,71.0,15.0,5.15,0.3695,2.0,66.0,4.0,72,1,0,0,4
Pab169ed872,1,66,5,5,1.0,54.0,89.0,35.0,12.55,0.3072,-6.0,75.0,12.3,76,2,0,0,2
P051c4d4903,1,67,5,5,1.0,58.0,96.0,38.0,14.22,0.259,3.0,79.0,15.9,77,2,0,0,3
P57cf716ba7,1,68,5,5,1.0,55.0,86.0,31.0,11.16,0.255,-2.0,74.0,14.0,82,4,0,0,4
P9cddcdc1ad,1,73,3,5,0.6,48.0,94.0,46.0,20.07,0.2108,6.0,,,79,4,0,0,3
Pbe11f21cfa,1,76,3,5,0.6,64.0,77.0,13.0,5.72,0.1928,-1.0,,,76,2,0,0,4
P727c27e864,1,77,3,5,0.6,51.0,87.0,36.0,14.73,0.1888,0.0,,,78,3,0,0,4
P65cc7bdb71,1,85,3,4,0.75,63.0,92.0,29.0,12.66,0.1525,0.0,,,82,5,0,0,3
Pd3cfd798be,1,83,5,5,1.0,72.0,96.0,24.0,8.35,0.1526,3.0,84.0,10.0,80,5,0,0,3
P1f88525e9f,1,83,4,5,0.8,74.0,86.0,12.0,4.9,0.1526,4.0,,,80,4,0,0,3
P2c763c66dd,1,87,4,5,0.8,65.0,95.0,30.0,11.63,0.1466,-3.0,,,78,3,0,0,4
P60da7b4537,1,93,2,5,0.4,41.0,100.0,59.0,29.5,0.1225,0.0,,,83,5,0,0,4
Pf75af7bb1f,1,96,4,5,0.8,78.0,94.0,16.0,5.7,0.1205,-18.0,,,75,2,0,0,3
Pe0ad9b9ce5,1,98,1,5,0.2,47.0,47.0,0.0,,0.1084,0.0,,,82,4,0,0,4
Pefa2378416,1,99,2,5,0.4,51.0,100.0,49.0,24.5,0.1024,-10.0,,,76,2,0,0,2
Pa9cae64430,1,1,4,4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,79,3,0,0,1
P2f61c21e93,1,2,4,4,1.0,3.0,3.0,0.0,0.0,0.98,1.0,3.0,0.0,78,2,0,0,1
P6a5f6ac2d8,1,3,4,4,1.0,2.0,6.0,4.0,1.79,0.9725,5.0,4.0,2.1,78,3,0,0,1
P00e7133fc6,1,4,4,4,1.0,2.0,7.0,5.0,2.12,0.97,-2.0,4.0,2.4,79,4,0,0,1
P714602a9aa,1,5,4,4,1.0,4.0,6.0,2.0,0.71,0.96,0.0,5.0,0.8,76,2,0,0,1
P273938bb97,1,6,4,4,1.0,4.0,9.0,5.0,2.17,0.9575,-2.0,5.0,2.5,85,4,0,0,1
Pf271325d7b,1,7,4,4,1.0,9.0,10.0,1.0,0.43,0.9125,2.0,10.0,0.5,74,1,1,0,0
P88205fde52,1,8,4,4,1.0,8.0,13.0,5.0,2.12,0.91,4.0,10.0,2.4,76,2,0,0,3
P0326e23b0d,1,9,4,4,1.0,6.0,18.0,12.0,4.5,0.905,0.0,11.0,5.2,82,5,0,0,3
P4ddb9bf638,1,10,4,4,1.0,6.0,16.0,10.0,3.77,0.8925,17.0,12.0,4.3,82,4,0,0,2
Pa4c28f80ad,1,12,4,4,1.0,7.0,18.0,11.0,4.64,0.89,1.0,12.0,5.4,77,3,0,0,1
P716f6175e4,1,13,4,4,1.0,7.0,17.0,10.0,3.67,0.88,-6.0,13.0,4.2,74,1,0,0,2
P34a08a87d4,1,14,4,4,1.0,12.0,20.0,8.0,3.34,0.8675,0.0,14.0,3.9,75,1,0,0,2
P297d12820e,1,15,4,4,1.0,11.0,17.0,6.0,2.28,0.8625,-4.0,15.0,2.6,73,1,0,0,1
P90a7395cb0,1,16,4,4,1.0,10.0,24.0,14.0,5.02,0.845,6.0,17.0,5.8,81,4,0,0,2
Pb15c668c3a,1,17,4,4,1.0,13.0,23.0,10.0,3.94,0.84,-3.0,17.0,4.5,81,3,0,0,1
P8df31bfe17,1,18,4,4,1.0,12.0,23.0,11.0,4.39,0.815,0.0,20.0,5.1,81,5,0,0,1
P1a41a85440,1,19,4,4,1.0,17.0,27.0,10.0,3.94,0.8,6.0,21.0,4.5,80,3,0,0,1
P076dcdb147,1,20,4,4,1.0,20.0,24.0,4.0,1.64,0.7975,-1.0,21.0,1.9,73,1,0,0,2
P6a3fce0af3,1,20,4,4,1.0,11.0,25.0,14.0,5.93,0.7975,0.0,21.0,6.8,78,3,0,0,1
P4516ced6d5,1,24,4,4,1.0,15.0,32.0,17.0,6.8,0.775,-8.0,24.0,7.9,85,5,0,0,1
P76ebdc8d77,1,25,4,4,1.0,19.0,31.0,12.0,5.12,0.765,4.0,25.0,5.9,76,1,0,0,4
Ped501e46cc,1,26,4,4,1.0,21.0,31.0,10.0,3.77,0.7575,-3.0,25.0,4.3,79,4,0,0,2
P43dec358d1,1,27,4,4,1.0,23.0,33.0,10.0,3.67,0.74,-1.0,27.0,4.2,75,1.5,0,0,1
