pid,draft_year,site,rank,ts
Pb9eccb67f7,2025,espn_ba,7,20250624203503
P5f9ce00466,2025,espn_ba,8,20250624203503
P32fecc73d2,2025,espn_ba,9,20250624203503
Pf54bd6bbc8,2025,espn_ba,10,20250624203503
P1a135db58f,2025,espn_ba,11,20250624203503
Pf4e651b50c,2025,espn_ba,12,20250624203503
P5699f03b57,2025,espn_ba,13,20250624203503
P15b8c13058,2025,espn_ba,14,20250624203503
Pdde13713ff,2025,espn_ba,15,20250624203503
P3f654a33fe,2025,espn_ba,16,20250624203503
Padf63a93ad,2025,espn_ba,17,20250624203503
P679974836f,2025,espn_ba,18,20250624203503
Pcb16689c6c,2025,espn_ba,19,20250624203503
P318e86822c,2025,espn_ba,20,20250624203503
P7ba2fa977b,2025,espn_ba,21,20250624203503
P6ddd309f80,2025,espn_ba,22,20250624203503
Pd8f68848a0,2025,espn_ba,23,20250624203503
P884e8ee6b6,2025,espn_ba,24,20250624203503
P307cead4af,2025,espn_ba,25,20250624203503
P43b2e2aa2f,2025,espn_ba,26,20250624203503
P8048267828,2025,espn_ba,27,20250624203503
Pad9c27fcb6,2025,espn_ba,28,20250624203503
P24c85e006b,2025,espn_ba,29,20250624203503
P9b4a07a3b9,2025,espn_ba,30,20250624203503
Pa29e5f68db,2025,espn_ba,31,20250624203503
P070f8d3585,2025,espn_ba,32,20250624203503
Pdec9ef7c46,2025,espn_ba,33,20250624203503
Pec8256037d,2025,espn_ba,34,20250624203503
P53f54898a1,2025,espn_ba,35,20250624203503
P259fbebd69,2025,espn_ba,36,20250624203503
P49b4c451ec,2025,espn_ba,37,20250624203503
P75527a2d8c,2025,espn_ba,38,20250624203503
Pc0a66d6cca,2025,espn_ba,39,20250624203503
P16dc90cb0b,2025,espn_ba,40,20250624203503
P3651ab0a99,2025,espn_ba,41,20250624203503
Pb7270acc46,2025,espn_ba,42,20250624203503
Pf25d15a954,2025,espn_ba,43,20250624203503
P155e770e32,2025,espn_ba,44,20250624203503
P495dd3afc8,2025,espn_ba,45,20250624203503
Pd4c3f94c64,2025,espn_ba,46,20250624203503
Pc2ef5dcf11,2025,espn_ba,47,20250624203503
Pcb59681372,2025,espn_ba,48,20250624203503
Pb74dcb5e35,2025,espn_ba,49,20250624203503
P41ae7c3c75,2025,espn_ba,50,20250624203503
P445f167264,2025,espn_ba,51,20250624203503
Pf38ea886b7,2025,espn_ba,52,20250624203503
Pfc563b417e,2025,espn_ba,53,20250624203503
P694212af03,2025,espn_ba,54,20250624203503
P0eb002afb8,2025,espn_ba,55,20250624203503
P03328260f7,2025,espn_ba,56,20250624203503
P8d3b3436aa,2025,espn_ba,57,20250624203503
P6146f5260f,2025,espn_ba,58,20250624203503
P0a66817947,2025,espn_ba,59,20250624203503
P34c7aa9885,2025,espn_ba,60,20250624203503
P1cb017a474,2025,espn_ba,61,20250624203503
P19a9559b15,2025,espn_ba,62,20250624203503
P95c84fe799,2025,espn_ba,63,20250624203503
P855a9cc2ba,2025,espn_ba,64,20250624203503
P648e1b1924,2025,espn_ba,65,20250624203503
P277e56e049,2025,espn_ba,66,20250624203503
P3b0e47f5ec,2025,espn_ba,67,20250624203503
Pa0366802b4,2025,espn_ba,68,20250624203503
P8961a7643a,2025,espn_ba,69,20250624203503
P9caa5193d5,2025,espn_ba,70,20250624203503
Pc25108b74d,2025,espn_ba,71,20250624203503
P98f1a6546b,2025,espn_ba,72,20250624203503
P98436c11b0,2025,espn_ba,73,20250624203503
Pd83ff943df,2025,espn_ba,74,20250624203503
P43b2e2aa2f,2025,espn_ba2,1,20250611112308
P8048267828,2025,espn_ba2,2,20250611112308
Pdec9ef7c46,2025,espn_ba2,3,20250611112308
P7ba2fa977b,2025,espn_ba2,4,20250611112308
Pec8256037d,2025,espn_ba2,5,20250611112308
P9b4a07a3b9,2025,espn_ba2,6,20250611112308
P259fbebd69,2025,espn_ba2,7,20250611112308
Pa29e5f68db,2025,espn_ba2,8,20250611112308
P070f8d3585,2025,espn_ba2,9,20250611112308
Pc0a66d6cca,2025,espn_ba2,10,20250611112308
P3651ab0a99,2025,espn_ba2,11,20250611112308
P75527a2d8c,2025,espn_ba2,12,20250611112308
Pad9c27fcb6,2025,espn_ba2,13,20250611112308
Pb7270acc46,2025,espn_ba2,14,20250611112308
P16dc90cb0b,2025,espn_ba2,15,20250611112308
P49b4c451ec,2025,espn_ba2,16,20250611112308
P155e770e32,2025,espn_ba2,17,20250611112308
P495dd3afc8,2025,espn_ba2,18,20250611112308
Pf25d15a954,2025,espn_ba2,19,20250611112308
Pc2ef5dcf11,2025,espn_ba2,20,20250611112308
Pcb59681372,2025,espn_ba2,21,20250611112308
P3d8ccdb639,2025,espn_ba2,22,20250611112308
Pf3b62cae3c,2025,espn_ba2,23,20250611112308
Pb9eccb67f7,2025,espn_ba2,24,20250611112308
Pdde13713ff,2025,espn_ba2,25,20250611112308
Padf63a93ad,2025,espn_ba2,26,20250611112308
P6ddd309f80,2025,espn_ba2,27,20250611112308
Pf4e651b50c,2025,espn_ba2,28,20250611112308
P4e09db2338,2025,espn_ba2,29,20250611112308
P5f9ce00466,2025,espn_ba2,30,20250611112308
P12ee990c18,2025,espn_ba2,31,20250611112308
P07268bf0e1,2025,espn_ba2,32,20250611112308
P3ee6bf444e,2025,espn_ba2,33,20250611112308
P15b8c13058,2025,espn_ba2,34,20250611112308
Pf54bd6bbc8,2025,espn_ba2,35,20250611112308
P5699f03b57,2025,espn_ba2,36,20250611112308
P1a135db58f,2025,espn_ba2,37,20250611112308
P32fecc73d2,2025,espn_ba2,38,20250611112308
P679974836f,2025,espn_ba2,39,20250611112308
P884e8ee6b6,2025,espn_ba2,40,20250611112308
P307cead4af,2025,espn_ba2,41,20250611112308
Pcb16689c6c,2025,espn_ba2,42,20250611112308
Pd8f68848a0,2025,espn_ba2,43,20250611112308
P3f654a33fe,2025,espn_ba2,44,20250611112308
P318e86822c,2025,espn_ba2,45,20250611112308
P24c85e006b,2025,espn_ba2,46,20250611112308
P0eb002afb8,2025,espn_ba2,47,20250611112308
Pb74dcb5e35,2025,espn_ba2,48,20250611112308
Pfc563b417e,2025,espn_ba2,49,20250611112308
Pd4c3f94c64,2025,espn_ba2,50,20250611112308
Pf38ea886b7,2025,espn_ba2,51,20250611112308
P445f167264,2025,espn_ba2,52,20250611112308
P41ae7c3c75,2025,espn_ba2,53,20250611112308
P694212af03,2025,espn_ba2,54,20250611112308
P8d3b3436aa,2025,espn_ba2,55,20250611112308
P6146f5260f,2025,espn_ba2,56,20250611112308
P03328260f7,2025,espn_ba2,57,20250611112308
P0a66817947,2025,espn_ba2,58,20250611112308
P34c7aa9885,2025,espn_ba2,59,20250611112308
P1cb017a474,2025,espn_ba2,60,20250611112308
P95c84fe799,2025,espn_ba2,61,20250611112308
P19a9559b15,2025,espn_ba2,62,20250611112308
P648e1b1924,2025,espn_ba2,63,20250611112308
P855a9cc2ba,2025,espn_ba2,64,20250611112308
P277e56e049,2025,espn_ba2,65,20250611112308
P3b0e47f5ec,2025,espn_ba2,66,20250611112308
Pa0366802b4,2025,espn_ba2,67,20250611112308
P8961a7643a,2025,espn_ba2,68,20250611112308
P9caa5193d5,2025,espn_ba2,69,20250611112308
Pc25108b74d,2025,espn_ba2,70,20250611112308
P98f1a6546b,2025,espn_ba2,71,20250611112308
P0e11075372,2025,espn_ba2,72,20250611112308
P12ee990c18,2025,sportingnews,1,20250624065301
P07268bf0e1,2025,sportingnews,2,20250624065301
P3d8ccdb639,2025,sportingnews,3,20250624065301
Pf3b62cae3c,2025,sportingnews,4,20250624065301
P4e09db2338,2025,sportingnews,5,20250624065301
P3ee6bf444e,2025,sportingnews,6,20250624065301
P5f9ce00466,2025,sportingnews,7,20250624065301
Pb9eccb67f7,2025,sportingnews,8,20250624065301
P32fecc73d2,2025,sportingnews,9,20250624065301
P5699f03b57,2025,sportingnews,10,20250624065301
Pf54bd6bbc8,2025,sportingnews,11,20250624065301
P15b8c13058,2025,sportingnews,12,20250624065301
P1a135db58f,2025,sportingnews,13,20250624065301
Pf4e651b50c,2025,sportingnews,14,20250624065301
P3f654a33fe,2025,sportingnews,15,20250624065301
P318e86822c,2025,sportingnews,16,20250624065301
Pdde13713ff,2025,sportingnews,17,20250624065301
Pcb16689c6c,2025,sportingnews,18,20250624065301
P884e8ee6b6,2025,sportingnews,19,20250624065301
P7ba2fa977b,2025,sportingnews,20,20250624065301
Padf63a93ad,2025,sportingnews,21,20250624065301
P307cead4af,2025,sportingnews,22,20250624065301
P24c85e006b,2025,sportingnews,23,20250624065301
Pd8f68848a0,2025,sportingnews,24,20250624065301
P679974836f,2025,sportingnews,25,20250624065301
P43b2e2aa2f,2025,sportingnews,26,20250624065301
P6ddd309f80,2025,sportingnews,27,20250624065301
P8048267828,2025,sportingnews,28,20250624065301
Pa29e5f68db,2025,sportingnews,29,20250624065301
P259fbebd69,2025,sportingnews,30,20250624065301
Pc0a66d6cca,2025,sportingnews,31,20250624065301
P9b4a07a3b9,2025,sportingnews,32,20250624065301
Pdec9ef7c46,2025,sportingnews,33,20250624065301
P070f8d3585,2025,sportingnews,34,20250624065301
Pec8256037d,2025,sportingnews,35,20250624065301
P3651ab0a99,2025,sportingnews,36,20250624065301
Pb7270acc46,2025,sportingnews,37,20250624065301
P49b4c451ec,2025,sportingnews,38,20250624065301
P75527a2d8c,2025,sportingnews,39,20250624065301
P495dd3afc8,2025,sportingnews,40,20250624065301
P16dc90cb0b,2025,sportingnews,41,20250624065301
Pf25d15a954,2025,sportingnews,42,20250624065301
P41ae7c3c75,2025,sportingnews,43,20250624065301
Pad9c27fcb6,2025,sportingnews,44,20250624065301
Pc2ef5dcf11,2025,sportingnews,45,20250624065301
P155e770e32,2025,sportingnews,46,20250624065301
Pf38ea886b7,2025,sportingnews,47,20250624065301
Pd4c3f94c64,2025,sportingnews,48,20250624065301
P03328260f7,2025,sportingnews,49,20250624065301
Pb74dcb5e35,2025,sportingnews,50,20250624065301
Pcb59681372,2025,sportingnews,51,20250624065301
P694212af03,2025,sportingnews,52,20250624065301
Pfc563b417e,2025,sportingnews,53,20250624065301
P55d017c927,2018,tankathon,1,20180620053309
P42b9d239c3,2018,tankathon,2,20180620053309
Pcaa6f4e965,2018,tankathon,3,20180620053309
Pae17b87a4a,2018,tankathon,4,20180620053309
Pd4282e2cb6,2018,tankathon,5,20180620053309
P17f11f33c2,2018,tankathon,6,20180620053309
P6f990ff013,2018,tankathon,7,20180620053309
P946b6a7bec,2018,tankathon,8,20180620053309
Peb77360d78,2018,tankathon,9,20180620053309
P4467431c36,2018,tankathon,10,20180620053309
P50c2524b85,2018,tankathon,11,20180620053309
P5e4a09f56c,2018,tankathon,12,20180620053309
P57ab80ef44,2018,tankathon,13,20180620053309
P8926a62cc8,2018,tankathon,14,20180620053309
P75b2e5cfed,2018,tankathon,15,20180620053309
P1f3e01b488,2018,tankathon,16,20180620053309
P6ab3598ab0,2018,tankathon,17,20180620053309
Pcabff956fe,2018,tankathon,18,20180620053309
P26d2a90c5b,2018,tankathon,19,20180620053309
Pf5ec6d144b,2018,tankathon,20,20180620053309
P4d03279429,2018,tankathon,21,20180620053309
P6786e0dd88,2018,tankathon,22,20180620053309
P58e5b2eaa8,2018,tankathon,23,20180620053309
Pd064221ae2,2018,tankathon,24,20180620053309
P9106a597f3,2018,tankathon,25,20180620053309
P9f769e6678,2018,tankathon,26,20180620053309
P8eec131338,2018,tankathon,27,20180620053309
P61add2364f,2018,tankathon,28,20180620053309
Pb53e68dfee,2018,tankathon,29,20180620053309
Pf271325d7b,2018,tankathon,30,20180620053309
P82bbff96e6,2018,tankathon,31,20180620053309
Pbe6b6d05a9,2018,tankathon,32,20180620053309
Pdb9cad4004,2018,tankathon,33,20180620053309
P8ecb19c544,2018,tankathon,34,20180620053309
P27d264f43c,2018,tankathon,35,20180620053309
Paa92a86ff3,2018,tankathon,36,20180620053309
P15b5ca7021,2018,tankathon,37,20180620053309
P379ec45447,2018,tankathon,38,20180620053309
Pe581c6d22f,2018,tankathon,39,20180620053309
P688b157768,2018,tankathon,40,20180620053309
P5da3d9ffcd,2018,tankathon,41,20180620053309
Pefc5241948,2018,tankathon,42,20180620053309
Pf507011aa5,2018,tankathon,43,20180620053309
P3e065b4b4e,2018,tankathon,44,20180620053309
Pf2fe8710f7,2018,tankathon,45,20180620053309
P3f77f707c0,2018,tankathon,46,20180620053309
P15b4774186,2018,tankathon,47,20180620053309
Pa08fe4841f,2018,tankathon,48,20180620053309
P1a46c41bff,2018,tankathon,49,20180620053309
P5ff9cbca0f,2018,tankathon,50,20180620053309
P67e5a8f825,2018,tankathon,51,20180620053309
P3e655a07ed,2018,tankathon,52,20180620053309
Pbb5225b691,2018,tankathon,53,20180620053309
P4ebe015218,2018,tankathon,54,20180620053309
Pae17b87a4a,2018,cbs,1,20180618170619
P55d017c927,2018,cbs,2,20180618170619
P42b9d239c3,2018,cbs,3,20180618170619
Pcaa6f4e965,2018,cbs,4,20180618170619
P35e592001a,2018,cbs,5,20180618170619
Pd4282e2cb6,2018,cbs,6,20180618170619
P17f11f33c2,2018,cbs,7,20180618170619
P4467431c36,2018,cbs,8,20180618170619
Peb77360d78,2018,cbs,9,20180618170619
P6f990ff013,2018,cbs,10,20180618170619
P50c2524b85,2018,cbs,11,20180618170619
P5e4a09f56c,2018,cbs,12,20180618170619
P57ab80ef44,2018,cbs,13,20180618170619
P8926a62cc8,2018,cbs,14,20180618170619
P212def8838,2018,cbs,15,20180618170619
P946b6a7bec,2018,cbs,16,20180618170619
P75b2e5cfed,2018,cbs,17,20180618170619
P58e5b2eaa8,2018,cbs,18,20180618170619
Pe581c6d22f,2018,cbs,19,20180618170619
P8eec131338,2018,cbs,20,20180618170619
P688b157768,2018,cbs,21,20180618170619
P9f769e6678,2018,cbs,22,20180618170619
P6786e0dd88,2018,cbs,23,20180618170619
P1f3e01b488,2018,cbs,24,20180618170619
P61add2364f,2018,cbs,25,20180618170619
P27d264f43c,2018,cbs,26,20180618170619
Pd064221ae2,2018,cbs,27,20180618170619
P9106a597f3,2018,cbs,28,20180618170619
Pbb5225b691,2018,cbs,29,20180618170619
Pcabff956fe,2018,cbs,30,20180618170619
Pf5ec6d144b,2018,cbs,31,20180618170619
P4d03279429,2018,cbs,32,20180618170619
P82bbff96e6,2018,cbs,33,20180618170619
P26d2a90c5b,2018,cbs,34,20180618170619
Pdb9cad4004,2018,cbs,35,20180618170619
Pbe6b6d05a9,2018,cbs,36,20180618170619
P55d017c927,2018,espn_ba,1,20180618041837
Pcaa6f4e965,2018,espn_ba,2,20180618041837
Pae17b87a4a,2018,espn_ba,3,20180618041837
P42b9d239c3,2018,espn_ba,4,20180618041837
P17f11f33c2,2018,espn_ba,5,20180618041837
