pid,cmb_bench,cmb_bmi,cmb_body_fat,cmb_hand_len,cmb_hand_width,cmb_lane_agility,cmb_max_vert,cmb_mod_lane_agility,cmb_offdrib_att,cmb_offdrib_pct,cmb_onmove_att,cmb_onmove_pct,cmb_reach_minus_height,cmb_spot15_att,cmb_spot15_pct,cmb_spotcol_att,cmb_spotcol_pct,cmb_spotnba_att,cmb_spotnba_pct,cmb_sprint,cmb_stand_vert,cmb_wing_minus_height
Pea4d2012e7,17.0,25.68,3.7,,,12.0,38.0,,,,,,24.0,,,,,,,3.34,33.5,6.25
Pf5e2b9f7f1,8.0,24.13,4.6,,,11.3,32.5,,,,,,25.0,,,,,,,3.26,29.0,3.25
P12dc2a4dac,9.0,25.51,13.0,,,11.88,29.0,,,,,,28.0,,,,,,,3.51,26.0,2.5
Pcb5c1e8ac6,15.0,26.13,5.6,,,12.31,34.0,,,,,,29.5,,,,,,,3.39,30.5,7.25
Pba0c961d37,20.0,27.02,9.1,,,12.15,35.5,,,,,,27.0,,,,,,,3.37,31.0,4.75
Pc9bef9c2e0,18.0,27.0,5.4,,,11.78,35.0,,,,,,23.0,,,,,,,3.31,26.5,2.0
P02f9f17423,9.0,25.5,5.4,,,11.57,34.5,,,,,,24.5,,,,,,,3.41,32.0,8.0
P56d107e80a,21.0,27.94,7.5,,,11.35,36.5,,,,,,23.5,,,,,,,3.29,31.5,4.0
Pcfbeb8a341,17.0,25.26,4.9,,,11.73,36.0,,,,,,30.0,,,,,,,3.22,29.5,9.0
P49b077589e,8.0,23.88,5.6,,,11.0,34.0,,,,,,24.0,,,,,,,3.22,29.0,4.5
P6e6a2db0d6,11.0,26.53,5.6,,,12.1,29.5,,,,,,27.5,,,,,,,3.43,27.0,6.0
P0f110bb83f,12.0,24.78,4.7,,,10.95,34.5,,,,,,25.0,,,,,,,3.25,28.5,3.5
P67d2056db6,12.0,26.36,13.7,,,11.7,31.5,,,,,,26.5,,,,,,,3.47,27.5,5.0
Pac5bd0e496,16.0,24.38,6.2,,,10.39,32.5,,,,,,27.0,,,,,,,3.38,28.5,6.25
Pad16010a79,12.0,23.31,4.8,,,11.79,37.5,,,,,,24.5,,,,,,,3.47,32.5,3.25
P2224af8be2,,26.23,7.8,,,11.67,34.0,,,,,,29.0,,,,,,,3.27,32.0,5.25
Pb380360b47,15.0,28.39,7.5,,,11.39,30.5,,,,,,31.5,,,,,,,3.29,26.5,9.5
P544e2d56ac,8.0,23.75,6.2,,,11.65,33.5,,,,,,23.5,,,,,,,3.27,29.5,2.25
Pd6f3aa739f,15.0,23.92,7.5,,,10.96,37.5,,,,,,23.25,,,,,,,3.29,33.5,0.0
Pa610141ccc,21.0,24.38,4.5,,,10.87,35.0,,,,,,25.25,,,,,,,3.14,28.5,2.75
P243742fc34,14.0,25.36,6.1,,,11.34,35.0,,,,,,24.75,,,,,,,3.11,30.5,3.5
P1a6f58deb5,9.0,23.43,5.1,,,10.68,34.0,,,,,,25.25,,,,,,,3.45,29.0,1.25
Pd84423f7e2,9.0,25.7,5.8,,,11.96,41.0,,,,,,26.25,,,,,,,3.16,35.0,7.25
P3b02df9dfc,21.0,27.26,5.7,,,11.49,30.0,,,,,,28.5,,,,,,,3.29,28.5,7.5
P9bd8ef5672,14.0,25.98,6.9,,,11.65,31.0,,,,,,29.25,,,,,,,3.56,26.5,6.25
Pd35ff5934d,2.0,21.56,5.8,,,11.76,35.5,,,,,,27.75,,,,,,,3.31,30.5,7.0
P25a045baff,2.0,24.07,6.1,,,11.48,33.5,,,,,,29.5,,,,,,,3.36,28.5,7.75
P8bc7e2260e,13.0,24.42,4.9,,,11.06,37.0,,,,,,28.25,,,,,,,3.19,34.5,5.75
Pdd125f24cc,6.0,24.43,6.8,,,11.0,40.5,,,,,,23.5,,,,,,,3.25,39.5,7.0
P2e38e474e2,24.0,24.63,5.8,,,11.33,38.5,,,,,,26.75,,,,,,,2.99,32.5,4.25
P4b0ccf34e0,12.0,24.03,7.3,,,12.18,30.0,,,,,,27.5,,,,,,,3.14,28.5,3.25
P376f10f64c,2.0,24.61,8.1,,,11.27,35.0,,,,,,24.5,,,,,,,3.07,28.5,5.5
P5f07dfebd6,10.0,26.37,4.7,,,11.26,38.0,,,,,,23.25,,,,,,,3.07,31.0,1.75
P722aa856f7,19.0,26.92,7.7,,,11.06,35.0,,,,,,28.0,,,,,,,3.24,30.0,5.25
P2bc925c307,13.0,26.62,7.6,,,11.67,36.0,,,,,,24.5,,,,,,,3.22,31.0,2.75
Pad8df3794d,19.0,30.43,9.0,,,11.84,33.0,,,,,,28.75,,,,,,,3.2,27.5,7.5
Pc9371b494a,2.0,25.88,9.4,,,11.77,42.0,,,,,,19.5,,,,,,,3.43,35.0,6.25
P41bc73e83b,10.0,25.32,5.4,,,,,,,,,,27.0,,,,,,,,,7.25
Pd43d378f42,15.0,28.5,8.2,,,10.81,40.0,,,,,,25.0,,,,,,,3.01,32.0,7.0
Pab534e249b,2.0,24.12,7.6,,,11.21,31.5,,,,,,27.75,,,,,,,3.2,27.5,1.75
P79f9e777a1,13.0,24.67,6.9,,,11.33,38.0,,,,,,27.25,,,,,,,3.08,30.5,4.75
Pd2241d6e4b,13.0,28.34,9.2,,,10.62,28.0,,,,,,29.25,,,,,,,3.27,26.5,8.25
P0e7908a570,9.0,23.71,3.0,,,12.2,37.5,,,,,,24.25,,,,,,,3.07,34.0,7.75
P4b1ba6339f,12.0,26.77,3.4,,,11.15,36.0,,,,,,26.75,,,,,,,3.16,30.5,9.0
Pc06b79b843,7.0,25.1,6.4,,,11.51,34.5,,,,,,31.0,,,,,,,3.18,28.0,8.5
P951f092ec6,11.0,27.09,12.5,,,11.75,31.0,,,,,,27.5,,,,,,,3.26,27.0,4.25
Pb36450dd54,6.0,23.99,9.2,,,,,,,,,,31.25,,,,,,,,,9.25
P4b40cf78ae,2.0,25.09,12.0,,,12.02,32.0,,,,,,27.75,,,,,,,3.36,27.0,4.25
P7c1c1e7eac,8.0,26.3,7.5,,,12.3,30.5,,,,,,31.75,,,,,,,3.27,26.0,8.25
P28594efa12,13.0,26.47,9.6,,,12.06,32.0,,,,,,29.0,,,,,,,3.2,29.0,7.0
Pab86c7dfaf,7.0,26.17,6.3,,,12.77,30.5,,,,,,29.75,,,,,,,3.57,27.5,6.25
Pdfe2a49906,18.0,28.19,12.9,,,11.17,35.0,,,,,,26.25,,,,,,,3.22,29.5,3.5
P552ea773e2,7.0,24.83,6.3,,,11.04,41.0,,,,,,24.25,,,,,,,3.14,30.5,2.75
P486b5c76fa,11.0,25.7,7.0,,,11.71,38.5,,,,,,25.75,,,,,,,3.17,32.0,8.75
Pfcb4575061,7.0,24.59,5.3,,,12.75,32.5,,,,,,31.5,,,,,,,3.25,27.0,7.0
Pb00deeb55d,19.0,26.12,4.5,,,10.54,38.5,,,,,,25.5,,,,,,,3.13,34.5,9.0
Pb48635a7c4,14.0,25.56,11.0,,,11.32,35.5,,,,,,24.25,,,,,,,3.17,30.5,1.25
P7c81e9aca5,7.0,21.11,4.7,,,11.86,35.0,,,,,,28.0,,,,,,,3.26,29.0,6.0
P2d45174d7f,10.0,25.51,4.6,,,11.69,40.0,,,,,,25.0,,,,,,,3.05,34.5,6.5
P1ca581fef0,18.0,25.63,4.2,,,,,,,,,,24.0,,,,,,,,26.0,5.5
Pb047bb4747,2.0,22.08,3.8,,,10.98,39.0,,,,,,25.25,,,,,,,3.08,31.0,6.5
P597d181897,10.0,24.54,6.2,,,11.97,29.5,,,,,,25.5,,,,,,,3.4,26.0,4.5
P8482acfde2,12.0,23.49,4.4,,,10.58,36.5,,,,,,28.0,,,,,,,2.96,29.0,6.0
P67ee7c4408,12.0,24.48,4.8,,,10.98,36.5,,,,,,25.75,,,,,,,3.08,30.0,5.5
P6d59a1d0fb,15.0,24.71,5.3,,,11.32,36.5,,,,,,27.75,,,,,,,3.07,31.5,6.0
Pebc69ca1f1,16.0,27.83,7.9,,,11.34,31.5,,,,,,30.25,,,,,,,3.32,27.5,8.75
P4f7ec9f72f,15.0,25.83,5.5,,,11.98,35.0,,,,,,26.25,,,,,,,3.14,31.0,4.25
P57a6e7dc53,3.0,23.9,7.9,,,10.49,39.0,,,,,,26.75,,,,,,,3.15,29.5,8.5
P5e4e4a8cf1,18.0,32.58,12.0,,,11.5,33.0,,,,,,29.25,,,,,,,3.45,26.0,8.75
Pe7ad570728,20.0,24.98,8.6,,,11.26,35.5,,,,,,28.0,,,,,,,3.13,30.5,7.0
P922c03ccad,10.0,23.7,10.0,,,11.08,38.5,,,,,,22.75,,,,,,,3.24,29.5,0.75
P117b8ca478,,23.79,6.3,,,,,,,,,,26.75,,,,,,,,,3.75
P7d7c4d5568,2.0,23.34,8.6,,,11.15,32.5,,,,,,26.75,,,,,,,3.28,25.5,1.5
Pc430805a15,5.0,24.78,5.2,,,11.17,33.0,,,,,,29.0,,,,,,,3.35,28.5,6.0
P8afd917a6c,9.0,22.38,5.7,,,10.45,33.5,,,,,,24.25,,,,,,,3.1,30.5,2.75
P3326a2a68b,18.0,25.61,4.8,,,11.18,35.0,,,,,,27.5,,,,,,,3.26,28.0,4.0
P7b8c6b66e0,10.0,23.24,5.7,,,11.07,35.5,,,,,,23.0,,,,,,,3.28,29.5,1.5
P7ef2b1cf05,0.0,20.18,5.5,,,12.11,28.0,,,,,,28.25,,,,,,,3.55,25.0,5.0
Pad8e6fd6b0,5.0,24.72,4.9,,,11.88,38.5,,,,,,25.0,,,,,,,3.31,29.0,3.5
Pc99e2f6730,15.0,24.19,5.2,,,10.63,32.5,,,,,,24.5,,,,,,,3.03,28.0,5.0
P6fd4123c4d,13.0,24.47,5.5,,,11.14,38.0,,,,,,23.75,,,,,,,3.2,31.5,2.25
Pe2d0a4cddd,7.0,26.85,7.1,,,11.81,34.0,,,,,,28.0,,,,,,,3.17,28.5,7.25
P1738f63a26,10.0,27.09,6.3,,,10.86,40.0,,,,,,24.25,,,,,,,3.23,33.0,4.75
P38fd19ed26,12.0,23.26,6.6,,,11.56,30.0,,,,,,28.5,,,,,,,3.41,25.5,7.5
P456fdc6328,15.0,24.5,5.6,,,11.3,33.0,,,,,,25.75,,,,,,,3.3,29.0,4.75
