pid,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span
Pd17e70140c,-0.072,-0.207,0.072,0.149,-0.008,4.2,5.974,1.602,-0.162,29.0,1,32.7,18.606,4.2,2,1,4.2,5.974,1
P821b19c2a1,1.365,-0.172,-0.028,,0.076,4.2,2.737,2.158,0.021,33.0,1,27.0,22.0,4.2,2,1,4.2,2.737,1
Pefe5f00afd,,,,,,,,,,31.0,1,25.3,12.095,0.0,1,0,,,0
P12ee990c18,,,,,,,,,,30.0,1,33.3,19.027,0.0,1,1,,,0
Pd125ec3ee3,0.833,0.141,0.008,-0.035,0.04,-2.1,0.231,-0.156,0.329,34.0,1,30.4,13.855,19.4,4,1,7.17,2.26,3
P4f7a1b04a6,1.113,0.117,0.039,-0.061,-0.127,-5.1,-0.551,-0.133,-0.043,34.0,0,33.0,13.527,-5.1,2,1,-5.1,-0.551,1
Pab169ed872,0.253,-0.018,0.051,0.089,-0.021,1.9,-0.77,1.116,0.142,36.0,0,34.4,16.953,1.9,2,1,1.9,-0.77,1
P0074b51801,0.259,-0.117,-0.03,-0.039,0.077,2.8,-1.647,0.192,-0.727,36.0,0,14.6,12.082,0.9,4,1,0.21,1.214,3
Pe8dc26218f,0.682,0.111,0.047,0.054,0.078,-0.4,1.535,-0.716,0.123,33.0,0,32.7,10.018,22.6,4,1,7.12,-0.267,4
Pfc8df2f375,,,,,,,,,,1.0,1,1.9,0.0,0.0,1,0,,,0
P97df826a61,1.059,0.066,0.086,0.071,-0.002,5.0,0.204,-0.82,-0.06,33.0,1,34.2,15.368,9.6,3,1,4.8,0.806,2
Pfe4fcea486,3.165,0.363,0.04,0.056,0.007,2.6,10.651,-1.276,0.818,33.0,1,36.6,24.098,2.6,2,1,2.6,10.651,1
P919e355315,0.581,-0.152,-0.014,-0.083,0.064,9.9,10.366,2.558,-0.366,31.0,1,34.2,20.737,9.9,2,1,9.9,10.366,1
P017b3a2bee,-0.358,0.094,-0.06,-0.093,0.0,0.6,2.75,-0.037,0.171,39.0,1,37.7,21.963,3.6,4,1,1.15,0.649,3
