pid,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_stops,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr
P7758d7472f,76.1876,99.9721,21.39,1.7,0.06663867,2,-8.11657,0,-0.217,8.334,-4.7,-4.973,9.1,-6.2,-8.3,-3.1,7.91,7.8,0.737926,-0.149453,1.32511,11.3,97.2144,0.343,0.476,42.4,-3.14346,34.3,1,-7.29579,21.0,0,NY,0.3542,0.485,20.6,13.1429,-8.8545,-7.14634,4.8,73.2,4.9,-0.504147,4.8095,95.4,0.6286,0.354,7,2,-4.973,51.9351,0.162,25.3,43.86,25.1,2
Pb3e495f583,115.907,97.2227,21.58,30.3,2.02412788,11,4.83661,1,14.652,-0.507,3.3,2.342,-2.6,11.0,3.0,10.1,-0.81,1.8,1.84539,1.83437,3.45785,12.6,101.936,0.233,1.129,49.8,0.92564,45.6,0,4.21154,31.0,0,NV,0.2154,0.237,69.6,30.9677,2.99121,2.37717,3.6,107.4,3.3,2.95961,11.6452,39.6,0.6135,0.595,2,3,1.955,183.38,0.168,21.3,54.14,22.2,3
P848f12bb0d,120.127,107.161,23.19,38.0,1.79030616,4,2.05433,1,17.618,-4.767,8.0,5.341,8.6,-0.5,-34.8,12.6,7.79,-0.1,-2.7993,-1.00201,2.68789,8.5,111.102,0.031,0.095,51.1,-3.28672,27.1,0,3.4304,21.0,0,ME,0.431,0.185,57.8,34.2381,4.85362,4.43241,0.7,106.2,2.2,3.8037,18.2857,66.6,0.4923,0.207,1,2,5.341,109.827,0.608,17.2,54.18,27.5,3
Pfff80834af,116.25,91.1506,22.77,5.6,0.24998905,9,4.50071,1,3.572,-0.983,3.9,4.821,3.5,9.5,33.6,5.4,5.62,-1.1,5.09755,2.86411,3.10325,23.5,91.6399,0.506,2.143,66.7,3.86452,68.4,0,5.13678,35.0,0,CA,0.3951,0.342,56.1,23.3143,-0.596838,2.27267,10.6,108.4,4.4,2.26757,12.0,80.4,0.8077,0.658,8,3,0.318,189.263,0.0,23.4,66.89,24.7,3
P608846acfb,117.278,97.2592,22.46,2.8,0.27662037,1,0.2008,1,10.372,-0.713,-1.1,1.973,1.8,7.5,-5.3,11.0,1.93,-1.9,-0.399083,-0.0825645,2.88098,19.0,101.32,0.06,0.235,53.6,-0.997638,51.0,0,1.58256,34.0,0,FL,0.3163,0.334,63.6,25.7941,0.599883,1.66513,9.1,110.0,3.7,2.58962,12.1471,45.2,0.6374,0.621,7,3,0.599,171.972,0.044,13.6,56.54,21.7,3
P8935abbbb4,123.191,90.5933,22.22,15.0,0.86842587,4,7.72254,1,15.079,-2.946,5.3,4.133,9.2,-2.1,20.3,10.9,9.06,0.1,4.26175,3.27999,3.62482,21.3,94.755,0.217,0.486,59.2,2.96875,32.9,0,7.27341,35.0,0,GA,0.5333,0.395,66.4,26.6571,3.46078,3.99342,8.2,112.2,4.2,3.25094,12.4,94.8,0.7264,0.349,6,3,2.377,204.281,0.257,20.1,61.74,24.1,3
P5605a2fa7e,118.18,98.1324,23.13,10.8,0.79660855,5,4.32426,1,18.265,0.865,2.0,1.611,3.2,25.3,27.1,5.4,5.71,7.3,0.757024,0.908282,3.75222,17.5,104.352,0.126,0.448,50.2,0.00248868,50.9,0,4.90523,29.0,0,NV,0.2903,0.189,85.0,34.3103,3.56724,3.99695,5.5,108.0,3.3,3.57186,15.5862,84.4,0.6214,0.314,5,4,1.242,183.453,0.497,15.0,55.48,23.4,4
Pfd99951c4d,128.648,91.0325,22.89,11.3,0.69645711,8,6.21839,0,12.525,-5.418,3.7,2.944,4.8,0.9,24.4,11.0,5.27,0.1,3.37695,2.53096,3.31419,22.0,90.2053,0.129,0.406,58.6,4.989,56.4,0,7.80749,32.0,0,WV,0.4667,0.396,61.4,24.6562,2.84144,5.27653,8.3,117.9,5.0,3.47097,15.2188,59.4,0.7327,0.333,7,4,-0.311,178.759,0.271,15.1,63.37,26.2,3
Pd1cda3e821,84.0966,112.742,19.26,2.6,0.16668168,3,-8.37082,,,,,,,,,,,,-2.50203,-2.57596,0.883438,10.4,111.384,0.074,0.037,42.9,,42.0,0,-5.99676,27.0,0,OH,0.3088,0.607,37.1,14.8889,-5.86879,-3.4208,5.5,86.7,2.0,-0.196639,4.8148,45.6,0.6667,0.241,5,1,,64.2157,0.152,21.5,48.39,19.3,1
P25e61f80f8,133.219,105.033,19.07,35.5,1.85,5,7.56139,,,,,,,,,,,,1.02934,1.24244,3.0501,14.0,109.389,0.13,0.56,53.5,,38.3,0,8.82794,25.0,0,MD,0.4343,0.451,71.6,35.68,6.53205,7.5855,4.0,113.6,2.8,5.59634,23.16,99.2,0.6174,0.262,2,1,,172.067,0.287,15.6,55.8,31.7,1
