pid,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words
P2606a3d161,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,1,2,0,0.0,0,2007,0.0,0.0,0,0.0,84
P2650c293bf,0,0.0,0,0.0,0,0.0,0,0.0,1,2,8.511,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,21.277,0,0.0,0,0.0,,0,2,0,0.0,0,2060,0.0,0.625,0,0.0,235
P268ca85d2e,1,4.464,0,0.0,0,0.0,0,0.0,1,3,13.393,0,0.0,0,0.0,0,0.0,1,4.464,0,0.0,0,0.0,1,4.464,0,0.0,1,13.393,,6,2,0,0.0,0,3424,0.0,0.25,0,0.0,224
P269736d407,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,31.746,0,0.0,0,0.0,,0,0,0,0.0,0,466,0.0,0.4,0,0.0,63
P26ad072598,2,4.274,0,0.0,0,0.0,0,0.0,1,3,6.41,1,2.137,0,0.0,0,0.0,0,0.0,1,2.137,0,0.0,0,0.0,0,0.0,1,2.137,,14,7,5,10.684,0,9316,0.0,-0.25,0,0.0,468
P26d2a90c5b,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,3,7.246,0,0.0,0,0.0,0,0.0,2,4.831,0,0.0,0,0.0,,8,6,4,9.662,0,7208,0.0,0.4,0,0.0,414
P26f8dd510c,0,0.0,1,1.381,0,0.0,10,13.812,1,6,8.287,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.381,0,0.0,0,0.0,,9,8,0,0.0,0,6739,0.0,0.25,0,0.0,724
P272ac40c3c,0,0.0,0,0.0,0,0.0,3,7.194,1,4,9.592,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.194,3,7.194,0,0.0,0,0.0,50,18,6,0,0.0,0,10100,0.0,0.5,0,0.0,417
P272afc1b90,0,0.0,0,0.0,0,0.0,0,0.0,1,1,1.733,0,0.0,0,0.0,2,3.466,1,3.466,0,0.0,0,0.0,2,3.466,0,0.0,1,1.733,,10,6,4,6.932,0,7100,0.0,0.4,0,0.0,577
P273938bb97,1,0.215,3,0.646,1,0.215,14,3.015,1,2,0.431,3,0.646,0,0.0,1,0.215,1,0.215,8,1.723,4,0.861,7,1.507,0,0.0,1,0.861,,113,27,6,1.292,1,54008,0.215,-0.056,0,0.0,4644
P277650e4b3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P277e56e049,0,0.0,0,0.0,0,0.0,0,0.0,1,1,3.39,0,0.0,0,0.0,7,23.729,0,0.0,0,0.0,0,0.0,1,3.39,0,0.0,0,0.0,,10,4,0,0.0,0,4863,0.0,0.25,0,0.0,295
P279cdc2712,0,0.0,0,0.0,0,0.0,4,11.461,1,1,2.865,1,2.865,0,0.0,0,0.0,0,0.0,0,0.0,6,17.192,0,0.0,0,0.0,0,0.0,,10,6,0,0.0,0,7101,0.0,0.0,1,5.731,349
P27a3420564,0,0.0,1,5.102,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.102,0,0.0,0,0.0,0,0.0,0,0.0,,4,4,1,5.102,0,2683,0.0,-0.25,0,0.0,196
P27a35575e9,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27d264f43c,0,0.0,0,0.0,1,4.808,1,4.808,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.808,1,4.808,0,0.0,0,0.0,,3,6,2,9.615,0,2845,0.0,0.25,0,0.0,208
P27f732ca1a,0,0.0,0,0.0,0,0.0,0,0.0,1,1,3.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,2,0,0.0,0,2961,0.0,0.0,0,0.0,271
P2805efe438,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28594efa12,1,3.268,0,0.0,1,3.268,1,3.268,1,1,3.268,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,9.804,0,0.0,0,0.0,,2,4,1,3.268,0,3056,0.0,0.5,0,0.0,306
P289da7f9c1,0,0.0,0,0.0,0,0.0,2,3.899,1,0,0.0,0,0.0,0,0.0,2,3.899,0,0.0,0,0.0,4,7.797,3,5.848,0,0.0,0,0.0,,16,8,4,7.797,0,8833,0.0,0.5,0,0.0,513
P297adbbd5f,0,0.0,0,0.0,2,3.552,0,0.0,1,7,12.433,0,0.0,0,0.0,0,0.0,1,1.776,0,0.0,0,0.0,2,3.552,0,0.0,1,1.776,,7,8,1,1.776,0,5129,0.0,0.4,1,1.776,563
P297d12820e,3,2.896,1,0.965,0,0.0,2,1.931,1,14,13.514,7,6.757,0,0.0,0,0.0,0,0.0,0,0.0,5,4.826,9,8.687,0,0.0,1,1.931,,40,8,0,0.0,0,18772,0.0,0.75,0,0.0,1036
P2a1ab2724b,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2a6c79e3dc,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,6,4,1,5.181,0,3979,0.0,0.0,0,0.0,193
P2a77fa93f7,0,0.0,0,0.0,0,0.0,2,5.391,1,7,18.868,0,0.0,0,0.0,5,13.477,0,0.0,0,0.0,3,8.086,3,8.086,0,0.0,0,0.0,,10,8,2,5.391,0,8137,0.0,0.5,0,0.0,371
P2a8e69fc8a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2abf5d1b69,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
