pid,gt_ratio,gt_peak_ratio,gt_last30_ratio,gt_trend,gt_zero_share,gt_days_above10,gt_topic,gt_class_pct
Pbf5a7a4d5b,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P5fe334203a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P4b7967ab2f,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P7a95b991f4,0.0453,0.15,0.0,0.588,0.74,1,0,0.965
Paf99c23c4d,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P2086e31fc5,0.0056,0.02,0.0,0.938,0.971,0,0,0.75
Pd89d8db6f9,0.002,0.02,0.0,0.978,0.99,0,0,0.731
P086a09588e,0.0437,0.13,0.0356,1.029,0.763,1,0,0.956
P3bedf956bf,0.0062,0.04,0.0,0.9,0.949,0,0,0.814
P3b0e47f5ec,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P96bc00aaed,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P539be6c711,0.0006,0.01,0.0,0.989,0.994,0,0,0.573
Pe6c95cf044,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pd6b4848f72,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pdff50197cb,0.0005,0.01,0.0,0.989,0.994,0,0,0.549
P81fe4dcd33,0.0019,0.01,0.0,0.978,0.989,0,0,0.517
P155e770e32,0.0045,0.02,0.0,0.957,0.971,0,0,0.771
Pafffac98b2,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P169cb5be9a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pa5e266180e,0.0009,0.01,0.0,0.989,0.994,0,0,0.4
Pc2cfb81ac1,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P1cb017a474,0.0007,0.01,0.0,0.989,0.994,0,0,0.543
P8c6b1e4de6,0.0014,0.01,0.0,0.978,0.99,0,0,0.694
Pf069f7ce7d,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pf07b0c62fd,0.0009,0.01,0.0,0.989,0.994,0,0,0.58
P0057628fa2,0.0129,0.05,0.0,0.909,0.952,0,0,0.889
P51e5ade0ce,0.0445,0.07,0.0788,1.544,0.785,0,0,0.98
P69549f38f2,0.0007,0.01,0.0,0.989,0.995,0,0,0.593
Pf213d802cd,0.0009,0.01,0.0,0.989,0.994,0,0,0.58
Pfc4c07b799,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pedbe6303e0,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pfd12de1732,0.0009,0.01,0.0,0.989,0.994,0,0,0.4
P424c3aa3f2,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P3b1e823247,0.0097,0.07,0.0,0.947,0.948,0,0,0.854
P8e7fe9e7e9,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P9e82692a6d,0.0007,0.01,0.0,0.989,0.995,0,0,0.593
P4e8883caf8,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P1999b4880f,0.0044,0.02,0.0068,1.067,0.977,0,0,0.81
P4bd2cd3d34,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P1e1b55c58c,0.0177,0.04,0.0,0.826,0.909,0,0,0.917
Pf372901c0b,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P98f4c6dfa5,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Paed8dc8f7e,0.0005,0.01,0.0021,1.033,0.994,0,0,0.549
P82dc635a40,0.0102,0.07,0.0,0.978,0.957,0,0,0.87
P71e4e7122a,0.0211,0.04,0.0,0.776,0.89,0,0,0.935
P6876f611cb,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P523c5eb5e6,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P0b253c1504,0.0148,0.05,0.0,0.957,0.942,0,0,0.96
P218d8c92b9,0.0073,0.05,0.0,0.909,0.955,0,0,0.832
P495dd3afc8,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P0035c2f0b3,0.0035,0.01,0.0,0.957,0.977,0,0,0.77
P2b13664da5,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P88b17e8559,0.0,0.0,0.0,1.0,1.0,0,0,0.0
