pid,draft_year,source_year,source_filename,source_row,match_method
Pa129b1725d,2018,2018,combine_2018.json,34,unique_nba_id
P004efe3965,2018,2018,combine_2018.json,35,unique_nba_id
Pfc813e5d63,2018,2018,combine_2018.json,40,unique_nba_id
P27d264f43c,2018,2018,combine_2018.json,42,unique_nba_id
P1a46c41bff,2018,2018,combine_2018.json,43,unique_nba_id
Paa92a86ff3,2018,2018,combine_2018.json,44,unique_nba_id
P0ca52587ca,2018,2018,combine_2018.json,45,unique_nba_id
P82bbff96e6,2018,2018,combine_2018.json,47,unique_nba_id
P17f11f33c2,2018,2018,combine_2018.json,50,unique_nba_id
P6ab3598ab0,2018,2018,combine_2018.json,52,unique_nba_id
P4467431c36,2018,2018,combine_2018.json,53,unique_nba_id
Pf507011aa5,2018,2018,combine_2018.json,54,unique_nba_id
Pf271325d7b,2018,2018,combine_2018.json,55,unique_nba_id
P1f3e01b488,2018,2018,combine_2018.json,56,unique_nba_id
P688b157768,2018,2018,combine_2018.json,58,unique_nba_id
P8eec131338,2018,2018,combine_2018.json,59,unique_nba_id
P9106a597f3,2018,2018,combine_2018.json,60,unique_nba_id
Pa5c483aef9,2018,2018,combine_2018.json,61,unique_nba_id
P5da3d9ffcd,2018,2018,combine_2018.json,62,unique_nba_id
P5e4a09f56c,2018,2018,combine_2018.json,63,unique_nba_id
P67e5a8f825,2018,2018,combine_2018.json,67,unique_nba_id
Pd4282e2cb6,2018,2018,combine_2018.json,68,unique_nba_id
P64a44986ea,2018,2018,combine_2018.json,48,unique_nba_id
P3e655a07ed,2018,2018,combine_2018.json,57,unique_nba_id
P27f732ca1a,2006,2006,combine_2006.json,2,unique_nba_id
P49164b4255,2006,2006,combine_2006.json,45,unique_nba_id
Pf919ba1bb3,2006,2006,combine_2006.json,23,unique_nba_id
P4634e39421,2006,2006,combine_2006.json,25,unique_nba_id
P4b8155700b,2006,2006,combine_2006.json,49,unique_nba_id
P14d000eef5,2006,2006,combine_2006.json,53,unique_nba_id
P4dc7399d2c,2006,2006,combine_2006.json,6,unique_nba_id
P058ee51b71,2006,2006,combine_2006.json,12,unique_nba_id
P54e5c21a96,2006,2006,combine_2006.json,58,unique_nba_id
Pd47bfc21b1,2006,2006,combine_2006.json,72,unique_nba_id
P74ff916074,2006,2006,combine_2006.json,8,unique_nba_id
P6f3dd59527,2006,2006,combine_2006.json,22,unique_nba_id
Pdb7c6b10a9,2006,2006,combine_2006.json,1,unique_nba_id
P1bf2734620,2006,2006,combine_2006.json,18,unique_nba_id
P7781579610,2006,2006,combine_2006.json,48,unique_nba_id
Pad940d555c,2006,2006,combine_2006.json,33,unique_nba_id
P6565076e45,2006,2006,combine_2006.json,47,unique_nba_id
P2650c293bf,2006,2006,combine_2006.json,7,unique_nba_id
P117ae491b1,2006,2006,combine_2006.json,43,unique_nba_id
P552922b6fa,2006,2006,combine_2006.json,10,unique_nba_id
P633e796e6a,2006,2006,combine_2006.json,51,unique_nba_id
Pf037b649bc,2006,2006,combine_2006.json,52,unique_nba_id
P5551ba72f6,2006,2006,combine_2006.json,4,unique_nba_id
Pcbdc976fea,2006,2006,combine_2006.json,37,unique_nba_id
Pd1e1adb03d,2006,2006,combine_2006.json,74,unique_nba_id
P4c433fbf72,2006,2006,combine_2006.json,41,unique_nba_id
P3765a7e186,2006,2006,combine_2006.json,39,unique_nba_id
Pe047befac5,2006,2006,combine_2006.json,61,unique_nba_id
P5713a8b541,2007,2007,combine_2007.json,16,unique_nba_id
Pba0c961d37,2007,2007,combine_2007.json,25,unique_nba_id
Pbcd324b348,2007,2007,combine_2007.json,8,unique_nba_id
Pea4d2012e7,2007,2007,combine_2007.json,20,unique_nba_id
P23d9f5804f,2007,2007,combine_2007.json,74,unique_nba_id
P4a79922b86,2007,2007,combine_2007.json,3,unique_nba_id
Pd35ff5934d,2007,2007,combine_2007.json,71,unique_nba_id
Pad16010a79,2007,2007,combine_2007.json,47,unique_nba_id
P49b077589e,2007,2007,combine_2007.json,38,unique_nba_id
P8bc7e2260e,2007,2007,combine_2007.json,75,unique_nba_id
P25a045baff,2007,2007,combine_2007.json,72,unique_nba_id
Pd84423f7e2,2007,2007,combine_2007.json,64,unique_nba_id
P243742fc34,2007,2007,combine_2007.json,59,unique_nba_id
Pdd125f24cc,2007,2007,combine_2007.json,76,unique_nba_id
P2f5200d27c,2007,2007,combine_2007.json,11,unique_nba_id
Pd6f3aa739f,2007,2007,combine_2007.json,57,unique_nba_id
P41fad117db,2007,2007,combine_2007.json,15,unique_nba_id
P168e9ad8d4,2007,2007,combine_2007.json,4,unique_nba_id
P56d107e80a,2007,2007,combine_2007.json,36,unique_nba_id
Pf6d18cb839,2007,2007,combine_2007.json,12,unique_nba_id
P67d2056db6,2007,2007,combine_2007.json,43,unique_nba_id
Pb380360b47,2007,2007,combine_2007.json,51,unique_nba_id
Pcfbeb8a341,2007,2007,combine_2007.json,37,unique_nba_id
P0f110bb83f,2007,2007,combine_2007.json,42,unique_nba_id
Pd1415c96b7,2007,2007,combine_2007.json,18,unique_nba_id
Pf5e2b9f7f1,2007,2007,combine_2007.json,21,unique_nba_id
Pac5bd0e496,2007,2007,combine_2007.json,46,unique_nba_id
P544e2d56ac,2007,2007,combine_2007.json,55,unique_nba_id
Pa610141ccc,2007,2007,combine_2007.json,58,unique_nba_id
P02f9f17423,2007,2007,combine_2007.json,34,unique_nba_id
P9bd8ef5672,2007,2007,combine_2007.json,68,unique_nba_id
Pb047bb4747,2008,2008,combine_2008.json,69,unique_nba_id
P722aa856f7,2008,2008,combine_2008.json,4,unique_nba_id
P552ea773e2,2008,2008,combine_2008.json,48,unique_nba_id
P2d45174d7f,2008,2008,combine_2008.json,65,unique_nba_id
P67ee7c4408,2008,2008,combine_2008.json,74,unique_nba_id
Pdfe2a49906,2008,2008,combine_2008.json,46,unique_nba_id
Pd43d378f42,2008,2008,combine_2008.json,25,unique_nba_id
P2e38e474e2,2008,2008,combine_2008.json,0,unique_nba_id
P376f10f64c,2008,2008,combine_2008.json,2,unique_nba_id
Pab86c7dfaf,2008,2008,combine_2008.json,45,unique_nba_id
P7c81e9aca5,2008,2008,combine_2008.json,59,unique_nba_id
Pfcb4575061,2008,2008,combine_2008.json,51,unique_nba_id
P0e7908a570,2008,2008,combine_2008.json,31,unique_nba_id
P4b0ccf34e0,2008,2008,combine_2008.json,1,unique_nba_id
Pab534e249b,2008,2008,combine_2008.json,27,unique_nba_id
P41bc73e83b,2008,2008,combine_2008.json,22,unique_nba_id
Pad8df3794d,2008,2008,combine_2008.json,15,unique_nba_id
P7c1c1e7eac,2008,2008,combine_2008.json,40,unique_nba_id
P486b5c76fa,2008,2008,combine_2008.json,50,unique_nba_id
P8482acfde2,2008,2008,combine_2008.json,73,unique_nba_id
P1ca581fef0,2008,2008,combine_2008.json,66,unique_nba_id
P79f9e777a1,2008,2008,combine_2008.json,28,unique_nba_id
P951f092ec6,2008,2008,combine_2008.json,36,unique_nba_id
Pc06b79b843,2008,2008,combine_2008.json,35,unique_nba_id
Pb00deeb55d,2008,2008,combine_2008.json,53,unique_nba_id
P146ec7320a,2009,2009,combine_2009.json,21,unique_nba_id
P26f8dd510c,2009,2009,combine_2009.json,42,unique_nba_id
P2acc089d0e,2009,2009,combine_2009.json,23,unique_nba_id
Pe2d0a4cddd,2009,2009,combine_2009.json,17,unique_nba_id
P1738f63a26,2009,2009,combine_2009.json,18,unique_nba_id
P7b8c6b66e0,2009,2009,combine_2009.json,12,unique_nba_id
P3391f209f3,2009,2009,combine_2009.json,26,unique_nba_id
Pad8e6fd6b0,2009,2009,combine_2009.json,14,unique_nba_id
P4417860ddd,2009,2009,combine_2009.json,44,unique_nba_id
