pid,sc_athleticism,sc_size,sc_defense,sc_strength,sc_quickness,sc_leadership,sc_jumpshot,sc_nbaready,sc_potential,sc_intangibles,sc_ballhandling,sc_passing,sc_rebounding,sc_postskills,sc_overall,sc_intang_lead,sc_kw_injury,sc_kw_upside,sc_kw_motor,sc_kw_character,sc_kw_shooting_concern,sc_kw_nba_ready,sc_words_strengths,sc_words_weaknesses,sc_capture_days_before_draft,sc_has_profile
Pe961cc9c52,,,,,,,,,,,,,,,,,,,,,,,,,,0
P47eee57e35,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3514cc9b35,,,,,,,,,,,,,,,,,,,,,,,,,,0
P71645345d7,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,11.0,63.0,18.0,1
P021e6add75,,,,,,,,,,,,,,,,,,,,,,,,,,0
P830efff813,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pdacee2a50f,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3769bd015c,,,,,,,,,,,,,,,,,,,,,,,,,,0
P4adcc58a26,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,244.0,105.0,18.0,1
P648b9117f8,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pebd90a92ff,,,,,,,,,,,,,,,,,,,,,,,,,,0
P187b6721ca,,,,,,,,,,,,,,,,,,,,,,,,,,0
P6d9b6a98b1,,,,,,,,,,,,,,,,,,,,,,,,,,0
P85381afe4a,,,,,,,,,,,,,,,,,,,,,,,,,,0
P2ca94b8a14,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3c40dc7411,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pe932df1062,,,,,,,,,,,,,,,,,,,,,,,,,,0
P83519063cc,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pfe4a1d82f4,,,,,,,,,,,,,,,,,,,,,,,,,,0
P396b44b337,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pa3f1da9bab,,,,,,,,,,,,,,,,,,,,,,,,,,0
P98207c2747,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pcf7f47cd26,,,,,,,,,,,,,,,,,,,,,,,,,,0
P4b934e1435,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pca9a20b4db,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pe09c2486c8,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd72acae20f,,,,,,,,,,,,,,,,,,,,,,,,,,0
P797b6b2deb,,,,,,,,,,,,,,,,,,,,,,,,,,0
P06b92eaa32,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd51bbef7c1,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pb3ff680bd6,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pbc5a0470c9,,,,,,,,,,,,,,,,,,,,,,,,,,0
P014b6ed928,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pae0e6be256,,,,,,,,,,,,,,,,,,,,,,,,,,0
Peab571b95d,,,,,,,,,,,,,,,,,,,,,,,,,,0
P39c1b5b439,,,,,,,,,,,,,,,,,,,,,,,,,,0
P01056a0f18,,,,,,,,,,,,,,,,,,,,,,,,,,0
P7feaaeffcb,,,,,,,,,,,,,,,,,,,,,,,,,,0
P0efa2b4f7d,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3d283763c2,,,,,,,,,,,,,,,,,,,,,,,,,,0
P9dc8436179,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pc5cf3e8f14,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pced63c164c,,,,,,,,,,,,,,,,,,,,,,,,,,0
P64b1bc7766,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3c6c730bf2,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pace4fe8116,,,,,,,,,,,,,,,,,,,,,,,,,,0
P539180f113,,,,,,,,,,,,,,,,,,,,,,,,,,0
P5e97ce9bc9,,,,,,,,,,,,,,,,,,,,,,,,,,0
P37455198a4,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pa526a12aa4,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pb7edd3ead7,,,,,,,,,,,,,,,,,,,,,,,,,,0
P38d9dee28f,,,,,,,,,,,,,,,,,,,,,,,,,,0
P53313a94c2,,,,,,,,,,,,,,,,,,,,,,,,,,0
P5e60e1df8d,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pc441e97a64,,,,,,,,,,,,,,,,,,,,,,,,,,0
P6294004747,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3dd5c6b05b,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd0fb9bca1b,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd8afdd28b5,,,,,,,,,,,,,,,,,,,,,,,,,,0
P82d1799627,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pf4d331b9a5,,,,,,,,,,,,,,,,,,,,,,,,,,0
P47846f7398,,,,,,,,,,,,,,,,,,,,,,,,,,0
P08c56d3590,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pa3bf9b334b,,,,,,,,,,,,,,,,,,,,,,,,,,0
P4649b7d232,,,,,,,,,,,,,,,,,,,,,,,,,,0
