pid,draft_year,was_drafted,actual_pick,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
Pec96a14b85,2015,1,9.0,39.0,81.4,28.1,59.0,62.78,6.0,25.7,18.4,11.5,156.0,200.0,0.78,225.0,387.0,0.581,42.0,101.0,0.416,4.5,1.7,41.0,2.0,1.63488926,137.0,180.0,88.0,207.0,31.0,34.0,33.6154,1.4872,6.7179,2.641,0.8462,1.4615,18.7692,0.2069672131147541,2.066666666666667,1.472,1.0351800000000002,4.136577828286079
P7d77f683c0,2015,1,13.0,38.0,51.9,20.5,57.1,60.02,2.6,7.8,10.9,13.8,53.0,64.0,0.828,77.0,146.0,0.527,58.0,141.0,0.411,0.3,1.3,22.3,2.8,1.13515453,42.0,59.0,35.0,88.0,8.0,9.0,21.5,0.4474,1.5526,1.1053,0.4474,0.0526,10.0263,0.4912891986062718,0.4210526315789474,0.7364864864864865,0.0501,3.456392659473587
Pce2a43b358,2015,1,14.0,33.0,81.4,31.3,52.9,56.73,2.3,10.7,39.8,14.9,126.0,161.0,0.783,149.0,294.0,0.507,82.0,220.0,0.373,1.6,3.2,31.3,2.5,2.40230118,53.0,87.0,96.0,208.0,3.0,3.0,32.1714,0.6,3.0857,5.9714,1.9429,0.4857,20.2,0.4280155642023346,1.3714285714285717,2.50314465408805,0.7604899999999997,3.983587930486957
Peaf1686cc0,2015,1,11.0,34.0,54.9,23.8,48.8,55.61,7.2,24.9,6.2,16.6,94.0,112.0,0.839,100.0,195.0,0.513,17.0,62.0,0.274,12.3,0.8,43.6,4.3,0.42549187,40.0,54.0,60.0,141.0,11.0,13.0,22.2059,1.2941,5.2353,0.5882,0.2941,2.6176,10.1471,0.2412451361867704,2.4716981132075477,0.3522727272727272,0.21318,3.966278379899654
P2297a93a7f,2015,1,12.0,36.0,52.6,20.6,49.6,54.26,9.9,16.1,9.2,15.0,75.0,102.0,0.735,113.0,211.0,0.536,4.0,29.0,0.138,2.1,1.4,42.5,2.8,0.92685926,69.0,88.0,44.0,123.0,28.0,30.0,23.0,1.8056,3.4167,1.0556,0.5278,0.4444,8.6944,0.1208333333333333,0.9210526315789476,0.575,0.02556,3.406525806348782
P8d6369038a,2015,1,19.0,38.0,91.1,25.6,53.6,59.18,1.3,8.3,33.5,14.2,170.0,218.0,0.78,154.0,269.0,0.572,50.0,158.0,0.316,1.4,2.8,51.1,2.1,3.07317281,107.0,142.0,47.0,127.0,10.0,11.0,37.0526,0.3421,2.6842,6.6316,1.6579,0.5,16.5263,0.3700234192037471,1.354838709677419,2.2039473684210527,0.5140800000000001,4.2034759492568705
P5492e07ad3,2015,1,22.0,36.0,74.2,25.7,55.2,58.23,13.6,20.2,8.8,11.5,115.0,156.0,0.737,236.0,436.0,0.541,14.0,30.0,0.467,4.8,2.1,33.5,2.9,0.74999998,149.0,204.0,87.0,229.0,32.0,36.0,29.8889,3.6944,5.2222,1.1667,1.0833,1.3889,17.4722,0.0643776824034334,1.7692307692307694,0.7040000000000001,0.4691099999999997,3.7264531585417022
P1c43036b93,2015,1,30.0,36.0,76.8,20.0,50.5,53.22,12.2,21.0,9.1,11.9,92.0,147.0,0.626,129.0,268.0,0.481,22.0,53.0,0.415,3.3,2.5,45.8,3.7,1.13336,100.0,156.0,29.0,111.0,24.0,24.0,30.9444,3.3889,5.8056,1.4167,1.2778,0.8889,11.5556,0.1651090342679127,1.2340425531914894,0.7054263565891472,0.0,3.1282548833763357
Pcf63b744fe,2015,1,17.0,23.0,57.3,28.8,52.1,54.73,2.3,13.9,12.2,14.4,68.0,98.0,0.694,90.0,187.0,0.481,54.0,141.0,0.383,1.1,1.5,29.9,2.9,0.71999634,48.0,87.0,42.0,100.0,3.0,4.0,32.2609,0.6087,4.2174,1.5652,0.7826,0.3478,17.8261,0.4298780487804878,0.6666666666666667,0.7922077922077921,0.4162399999999997,3.1890131759934053
P4a125216bc,2015,1,33.0,31.0,80.1,24.7,50.5,53.25,10.5,19.6,7.6,21.7,95.0,147.0,0.646,190.0,370.0,0.514,1.0,9.0,0.111,9.7,1.5,38.8,3.0,0.39602836,117.0,181.0,73.0,189.0,33.0,35.0,34.871,3.1935,6.7419,1.2903,0.9355,3.6452,15.4194,0.0237467018469656,2.8,0.3348017621145374,0.15275,3.2281991288516183
P2e8c779b09,2015,1,36.0,31.0,85.1,25.5,55.3,59.21,10.1,19.3,10.5,17.3,136.0,191.0,0.712,203.0,366.0,0.555,0.0,1.0,0.0,8.4,1.6,52.0,3.9,0.60255955,139.0,186.0,64.0,182.0,46.0,49.0,34.3226,3.0968,5.9032,1.5161,0.9355,2.4839,17.4839,0.0027247956403269,2.0408163265306123,0.5737704918032787,0.5065500000000001,3.743336704883781
Pf21d262b1c,2015,1,48.0,39.0,40.3,23.1,50.6,55.26,13.4,19.1,8.9,17.9,90.0,144.0,0.625,79.0,156.0,0.506,0.0,0.0,0.0,6.1,1.4,92.3,4.3,0.69050052,58.0,91.0,21.0,65.0,14.0,14.0,16.2821,1.7179,2.8718,0.7436,0.359,0.9231,6.359,0.0,1.4150943396226416,0.4708994708994709,0.16306,3.110458589012859
Pb4e1522182,2015,1,23.0,38.0,71.5,20.9,51.3,57.33,9.0,20.1,10.1,15.5,145.0,205.0,0.707,132.0,246.0,0.537,6.0,29.0,0.207,3.4,2.4,74.5,3.4,1.0,91.0,127.0,41.0,119.0,40.0,43.0,28.6842,2.0263,4.8158,1.5526,1.1579,0.8421,11.2368,0.1054545454545454,1.318181818181818,0.6121212121212121,0.0659699999999998,3.7668084513342337
Pe71646e585,2015,1,16.0,36.0,86.9,26.8,45.7,50.86,3.8,13.9,19.7,14.1,139.0,176.0,0.79,166.0,364.0,0.456,48.0,157.0,0.306,0.5,3.5,33.8,2.0,1.36711625,78.0,145.0,88.0,218.0,8.0,9.0,35.0,1.1944,4.3611,3.0,2.0,0.1667,17.0833,0.3013435700575815,1.3333333333333333,1.304635761589404,0.0584799999999999,4.089158288733325
P831df49905,2015,1,46.0,36.0,85.7,24.0,49.7,53.99,1.9,13.3,12.8,15.8,127.0,169.0,0.751,175.0,348.0,0.503,38.0,119.0,0.319,1.5,3.2,36.2,2.9,0.93749446,132.0,217.0,43.0,131.0,34.0,38.0,34.5278,0.5833,4.1111,2.0833,1.8333,0.4444,16.4167,0.2548179871520342,1.2051282051282053,0.7619047619047619,0.1596,3.856984626224747
