pid,source,fiba_person_id,n_tournaments_predraft,tournament_ids,urls
P946b6a7bec,fiba.basketball,217266,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P50c2524b85,fiba.basketball,223794,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
P17f11f33c2,fiba.basketball,225704,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
Pcabff956fe,fiba.basketball,224410,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P26d2a90c5b,fiba.basketball,225698,2,256_6329;276_10628,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P82bbff96e6,fiba.basketball,236073,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P61add2364f,fiba.basketball,211971,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P9f769e6678,fiba.basketball,210255,2,256_5956;276_6290,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P9106a597f3,fiba.basketball,217275,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
Pefc5241948,fiba.basketball,211501,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P8ecb19c544,fiba.basketball,226681,2,256_6329;276_10628,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P5ff9cbca0f,fiba.basketball,211638,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
Pb5f59c2405,fiba.basketball,210277,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P55c2defaf8,fiba.basketball,188250,1,276_4346,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/4346
Pf3d3c05896,fiba.basketball,210252,1,256_5956,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956
Pa5c483aef9,fiba.basketball,210273,2,256_5956;276_6290,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pdda77ad869,fiba.basketball,189124,1,249_5078,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5078
Pefe5f00afd,fiba.basketball,173475,1,276_3348,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3348
P9ce3123e64,fiba.basketball,205891,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
P7f30d796bb,fiba.basketball,151706,2,263_4068;263_4627,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4627
P212def8838,fiba.basketball,225982,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P9d76a38c5e,fiba.basketball,210287,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pa9cae64430,fiba.basketball,216798,2,249_9678;276_10628,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P43dec358d1,fiba.basketball,251348,1,256_6366,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6366
Pbea2d75e26,fiba.basketball,206395,2,249_5075;276_10628,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
P2f61c21e93,fiba.basketball,217272,1,276_10628,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/10628
