pid,fy_has_youth,fy_n_tournaments,fy_best_level,fy_age_rel_last,fy_age_rel_min,fy_underage_flag,fy_pts40_z_last,fy_pir40_z_last,fy_ts_z_last,fy_ast40_z_last,fy_stl_blk40_z_last,fy_usage_proxy_z_last,fy_best_pts40_z,fy_best_pir40_z,fy_z_trend,fy_minutes_share_last,fy_team_finish_last,fy_hoop_summit_world
P35e592001a,1,1,3,0.326219,0.326219,0,1.06871,2.43797,1.09871,-0.366279,0.984853,0.120342,1.06871,2.43797,,0.347083,1,0
P6f990ff013,1,1,3,0.294433,0.294433,0,1.87733,3.00127,1.35121,-0.0237395,2.08313,1.42988,1.87733,3.00127,,0.383214,1,0
P4467431c36,1,1,3,0.573699,0.573699,0,3.31411,2.88829,1.80561,3.36853,0.685642,2.66987,3.31411,2.88829,,0.471389,1,0
P946b6a7bec,1,1,3,-0.0259026,-0.0259026,0,1.76163,1.77664,1.36882,-1.02705,2.4531,1.32928,1.76163,1.77664,,0.434583,1,0
Peb77360d78,0,0,,,,,,,,,,,,,,,,0
P50c2524b85,1,1,3,0.159206,0.159206,0,-0.0828548,0.80001,0.260619,2.83047,2.23654,0.189961,-0.0828548,0.80001,,0.576583,2,0
P57ab80ef44,0,0,,,,,,,,,,,,,,,,0
P6ab3598ab0,0,0,,,,,,,,,,,,,,,,0
P17f11f33c2,1,1,3,0.194799,0.194799,0,2.77134,2.75832,1.50018,0.652373,1.84497,1.49848,2.77134,2.75832,,0.526917,1,0
Pcabff956fe,1,1,3,0.0124281,0.0124281,0,0.440117,1.62437,0.945574,1.31106,1.72219,-0.365244,0.440117,1.62437,,0.592798,1,0
P1f3e01b488,0,0,,,,,,,,,,,,,,,,0
P58e5b2eaa8,0,0,,,,,,,,,,,,,,,,0
P5e4a09f56c,0,0,,,,,,,,,,,,,,,,0
P26d2a90c5b,1,2,4,0.126828,0.0332627,0,-0.498801,0.384018,-0.151939,1.52319,-0.0910376,-0.476991,0.351856,0.384018,0.324891,0.355119,3,0
P82bbff96e6,1,1,4,0.113138,0.113138,0,0.0212448,0.702259,-0.492353,0.543716,0.357536,0.429287,0.0212448,0.702259,,0.333988,3,0
Pdb9cad4004,0,0,,,,,,,,,,,,,,,,0
P4d03279429,0,0,,,,,,,,,,,,,,,,0
P75b2e5cfed,0,0,,,,,,,,,,,,,,,,0
Pf271325d7b,0,0,,,,,,,,,,,,,,,,0
P5da3d9ffcd,0,0,,,,,,,,,,,,,,,,0
Pf507011aa5,0,0,,,,,,,,,,,,,,,,0
P8926a62cc8,0,0,,,,,,,,,,,,,,,,0
Pbe6b6d05a9,0,0,,,,,,,,,,,,,,,,0
P61add2364f,1,1,3,0.234199,0.234199,0,4.19788,2.41901,1.12032,0.571649,0.20009,3.8506,4.19788,2.41901,,0.810179,9,0
P688b157768,0,0,,,,,,,,,,,,,,,,0
Pf5ec6d144b,0,0,,,,,,,,,,,,,,,,0
P15b5ca7021,0,0,,,,,,,,,,,,,,,,0
