pid,draft_year,actual_pick,reason,n_name_candidates
Pdb057d444b,2005,32.0,no_d1_season_match,0
Pdd972253d5,2005,19.0,no_d1_season_match,0
Pdf59a363f3,2005,,no_d1_season_match,0
Pe68742d859,2005,30.0,no_d1_season_match,0
Peb2d46202e,2005,38.0,no_d1_season_match,0
Pef98a54ad0,2005,,no_d1_season_match,0
Pf0c178cb1c,2005,,no_d1_season_match,0
Pf1999192da,2005,,no_d1_season_match,0
Pf4d4553b6f,2005,15.0,no_d1_season_match,0
Pf4d757d073,2005,,no_d1_season_match,0
Pf72d9be4b9,2005,45.0,no_d1_season_match,0
Pf747d30e9b,2005,,no_d1_season_match,0
Pf7c6d819f2,2005,,no_d1_season_match,0
Pf804162018,2005,6.0,no_d1_season_match,0
Pff47b96114,2005,10.0,no_d1_season_match,0
P05061c84a0,2006,10.0,no_d1_season_match,0
P058ee51b71,2006,14.0,no_d1_season_match,0
P05a3993fb1,2006,,no_d1_season_match,0
P09caf918fb,2006,51.0,no_d1_season_match,0
P09e349620c,2006,,no_d1_season_match,0
P117ae491b1,2006,47.0,no_d1_season_match,0
P14d000eef5,2006,11.0,no_d1_season_match,0
P15657a7054,2006,,no_d1_season_match,1
P156589bd1a,2006,46.0,no_d1_season_match,1
P1bf2734620,2006,29.0,no_d1_season_match,0
P20979c9b9c,2006,52.0,no_d1_season_match,0
P20a1183fcf,2006,27.0,no_d1_season_match,0
P2611750e05,2006,,no_d1_season_match,0
P2650c293bf,2006,41.0,no_d1_season_match,0
P27f732ca1a,2006,2.0,no_d1_season_match,0
P2815fbec81,2006,,no_d1_season_match,0
P3765a7e186,2006,,no_d1_season_match,0
P3bad279cb0,2006,,no_d1_season_match,0
P40d4a587d5,2006,,no_d1_season_match,0
P40fd812f54,2006,13.0,no_d1_season_match,0
P4634e39421,2006,8.0,no_d1_season_match,0
P49164b4255,2006,3.0,no_d1_season_match,0
P4b8155700b,2006,9.0,no_d1_season_match,0
P4bb660105c,2006,50.0,no_d1_season_match,0
P4c433fbf72,2006,,no_d1_season_match,0
P4dc7399d2c,2006,12.0,no_d1_season_match,0
P51a666d7f5,2006,31.0,no_d1_season_match,2
P54e5c21a96,2006,15.0,no_d1_season_match,0
P552922b6fa,2006,60.0,no_d1_season_match,0
P5551ba72f6,2006,,no_d1_season_match,0
P570dcb4282,2006,25.0,no_d1_season_match,0
P574724b2cd,2006,24.0,no_d1_season_match,0
P5fde6f13a3,2006,,no_d1_season_match,0
P633e796e6a,2006,,no_d1_season_match,0
P641f1ca8a3,2006,35.0,no_d1_season_match,0
P6565076e45,2006,39.0,no_d1_season_match,0
P6f3dd59527,2006,26.0,no_d1_season_match,0
P6f687d1dcc,2006,,no_d1_season_match,0
P7363f8a8b4,2006,,no_d1_season_match,0
P74ff916074,2006,20.0,no_d1_season_match,0
P7781579610,2006,32.0,no_d1_season_match,0
P78afb3722d,2006,16.0,no_d1_season_match,0
P82e987418b,2006,36.0,no_d1_season_match,0
P842513fba1,2006,23.0,no_d1_season_match,0
P85ac223123,2006,,no_d1_season_match,1
P87e51fede0,2006,,no_d1_season_match,0
P8b41334856,2006,21.0,no_d1_season_match,0
P8be75213cc,2006,,no_d1_season_match,0
P91b09695de,2006,5.0,no_d1_season_match,0
P924fa678bb,2006,22.0,no_d1_season_match,3
P9a20aba619,2006,42.0,no_d1_season_match,0
P9ba3c3f8a6,2006,,no_d1_season_match,0
Pa0908fe6ff,2006,,no_d1_season_match,0
Pa1953f4a95,2006,6.0,no_d1_season_match,1
Pa24efaf8fd,2006,45.0,no_d1_season_match,0
