pid,draft_year,source_id,publisher,mock_rank,listed_count,source_url,archive_url,source_last_updated_date,capture_utc,draft_date,rank_facts_sha256,table_sha256,match_method
P117a6c6fb1,2016,dx_2016,dx,2,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
P9155961dd2,2016,dx_2016,dx,3,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
P47380ec945,2016,dx_2016,dx,4,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
P4ec4ee54f1,2016,dx_2016,dx,5,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
Pf9ebd1b271,2016,dx_2016,dx,6,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
P53f786523f,2016,dx_2016,dx,7,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
P8a2a3c7c07,2016,dx_2016,dx,8,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
P88f4dbf943,2016,dx_2016,dx,9,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
P9264b6e63a,2016,dx_2016,dx,10,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
Pd856e50561,2016,dx_2016,dx,11,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
