pid,draft_year,vcons_dx_rank,vcons_nbadraft_rank,vcons_walter_serious_rank
Pa29e5f68db,2025,,26.0,
Pa2e8c74c1f,2022,,34.0,
Pa306b38c4f,2024,,48.0,
Pa307fde308,2016,52.0,38.0,
Pa3f4257d20,2024,,14.0,
Pa3fa433740,2020,,20.0,
Pa430d00e1f,2020,,2.0,7.0
Pa466887b08,2016,24.0,26.0,
Pa48064fa8c,2015,,52.0,
Pa4c28f80ad,2019,,15.0,
Pa4e79c2199,2023,,9.0,
Pa5128e8532,2022,,25.0,
Pa5d4a8fef6,2024,,5.0,
Pa5e266180e,2026,,32.0,
Pa6029bb5a6,2023,,53.0,
Pa76a1ce248,2017,56.0,54.0,
Pa79b34cca8,2017,27.0,29.0,
Pa7cb2c7354,2016,49.0,56.0,
Pa7dbf13041,2020,,21.0,9.0
Pa813594724,2023,,6.0,
Pa89859be17,2022,,20.0,
Pa8fc4b7ad7,2016,,54.0,
Pa93866e530,2024,,34.0,
Pa95793f720,2022,,11.0,
Pa9cae64430,2019,,3.0,3.0
Paa92a86ff3,2018,,33.0,
Paac5dcb74c,2022,,28.0,
Paae5adeebf,2026,,3.0,
Pab169ed872,2019,,40.0,
Pab39ee5462,2022,,9.0,
Pac178f1473,2021,,36.0,
Paca468f5b5,2016,35.0,,
Pad0b972baf,2020,,,14.0
Pad2abbabb5,2026,,13.0,
Pad9c27fcb6,2025,,41.0,
Pada60a9da7,2024,,25.0,
Padf63a93ad,2025,,21.0,
Pae17b87a4a,2018,,4.0,
Pae46fa4aa5,2022,,14.0,
Paf6b5cd8b6,2026,,59.0,
Paf99c23c4d,2023,,60.0,
Pafb050f1ad,2022,,31.0,
Pafffac98b2,2024,,35.0,
Pb067831a66,2015,27.0,27.0,
Pb07d6373bb,2026,,33.0,
Pb0cd5d409b,2024,,6.0,
Pb0f44d6b69,2019,,58.0,
Pb1001f743e,2024,,51.0,
Pb14e5c1c97,2019,,55.0,
Pb14f594f0a,2019,,29.0,
Pb16e641fe9,2019,,30.0,
Pb1c5565b99,2024,,52.0,
Pb1d56c9c96,2021,,31.0,
Pb1eb09fa94,2019,,35.0,
Pb2632428b5,2021,,9.0,
Pb3a7a6f86b,2016,43.0,24.0,
Pb3cfb2c388,2021,,23.0,
