source_season,team_id,game_id,game_date,team_player_minutes,team_fgm,team_fga,team_fg3m,team_fg3a,team_ftm,team_fta,team_orb,team_drb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,team_pts,opponent_fgm,opponent_fga,opponent_fg3m,opponent_fg3a,opponent_ftm,opponent_fta,opponent_orb,opponent_drb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,opponent_pts
2008,team_c8f8eb494d5be0790fd6,game_8ce25313204e8a553d65,2008-03-08,200,28,64,6,15,21,37,13,25,38,15,4,3,5,23,83,37,66,13,19,16,28,10,30,40,33,0,6,7,24,103
2008,team_e3ff52d6be04420a57c7,game_8ce25313204e8a553d65,2008-03-08,200,37,66,13,19,16,28,10,30,40,33,0,6,7,24,103,28,64,6,15,21,37,13,25,38,15,4,3,5,23,83
2008,team_4bd0499d7084cee6840d,game_7b9126c590383ecc29bf,2008-03-13,200,18,55,3,14,16,19,14,22,36,5,9,2,11,15,55,20,51,7,20,9,16,12,24,36,11,5,6,15,15,56
2008,team_c8f8eb494d5be0790fd6,game_7b9126c590383ecc29bf,2008-03-13,200,20,51,7,20,9,16,12,24,36,11,5,6,15,15,56,18,55,3,14,16,19,14,22,36,5,9,2,11,15,55
2008,team_c8f8eb494d5be0790fd6,game_495408a83f8a7c54ab1b,2008-03-14,225,27,67,6,18,17,26,12,28,40,11,6,2,12,17,77,29,63,7,23,7,13,10,32,42,15,6,8,16,23,72
2008,team_e3ff52d6be04420a57c7,game_495408a83f8a7c54ab1b,2008-03-14,225,29,63,7,23,7,13,10,32,42,15,6,8,16,23,72,27,67,6,18,17,26,12,28,40,11,6,2,12,17,77
2008,team_c8f8eb494d5be0790fd6,game_2b86e966a351e6f4e4c9,2008-03-15,200,18,42,4,9,18,27,11,28,39,7,8,4,18,16,58,22,60,7,16,8,12,13,18,31,9,7,5,11,21,59
2008,team_f24feebb7e2540f19526,game_2b86e966a351e6f4e4c9,2008-03-15,200,22,60,7,16,8,12,13,18,31,9,7,5,11,21,59,18,42,4,9,18,27,11,28,39,7,8,4,18,16,58
2008,team_f24feebb7e2540f19526,game_b8c5c6e7461020a99457,2007-11-10,200,24,58,6,18,9,15,11,16,27,11,6,0,15,14,63,38,63,13,26,8,14,15,27,42,22,9,6,12,16,97
2008,team_8584ecbb1ea76935b74c,game_b8c5c6e7461020a99457,2007-11-10,200,38,63,13,26,8,14,15,27,42,22,9,6,12,16,97,24,58,6,18,9,15,11,16,27,11,6,0,15,14,63
2008,team_272bacea65605f8e4c1e,game_ceeb93c1c3630c8df6bc,2007-11-13,200,32,66,11,23,3,7,11,21,32,14,6,4,15,16,78,28,56,12,26,13,19,10,24,34,18,9,5,16,17,81
2008,team_8584ecbb1ea76935b74c,game_ceeb93c1c3630c8df6bc,2007-11-13,200,28,56,12,26,13,19,10,24,34,18,9,5,16,17,81,32,66,11,23,3,7,11,21,32,14,6,4,15,16,78
2008,team_01dd2fb99692244a6d05,game_cf240f2759a283d5fa32,2007-11-16,200,27,67,4,18,12,19,9,21,30,11,2,3,17,19,70,42,75,6,19,18,23,15,38,53,20,11,5,14,18,108
2008,team_8584ecbb1ea76935b74c,game_cf240f2759a283d5fa32,2007-11-16,200,42,75,6,19,18,23,15,38,53,20,11,5,14,18,108,27,67,4,18,12,19,9,21,30,11,2,3,17,19,70
2008,team_2f4ebbf87dc54e83cd5d,game_af6a93746edbcbba8e1d,2007-11-24,200,22,48,9,20,17,27,8,28,36,11,2,0,31,20,70,38,77,7,24,11,17,13,24,37,19,18,6,8,24,94
2008,team_8584ecbb1ea76935b74c,game_af6a93746edbcbba8e1d,2007-11-24,200,38,77,7,24,11,17,13,24,37,19,18,6,8,24,94,22,48,9,20,17,27,8,28,36,11,2,0,31,20,70
2008,team_5a99c57b24b4f79e6a50,game_dce5fe4981aa2411cb43,2007-11-27,200,27,79,12,33,10,18,18,28,46,13,5,11,14,15,76,43,93,8,23,8,13,27,37,64,23,3,4,11,18,102
2008,team_8584ecbb1ea76935b74c,game_dce5fe4981aa2411cb43,2007-11-27,200,43,93,8,23,8,13,27,37,64,23,3,4,11,18,102,27,79,12,33,10,18,18,28,46,13,5,11,14,15,76
2008,team_ece5c5b77a971384e8c8,game_471ed69242b5010ca5e3,2007-12-01,200,27,58,9,21,14,20,6,26,32,17,8,0,20,30,77,28,55,9,23,20,33,10,26,36,17,6,4,21,20,85
2008,team_8584ecbb1ea76935b74c,game_471ed69242b5010ca5e3,2007-12-01,200,28,55,9,23,20,33,10,26,36,17,6,4,21,20,85,27,58,9,21,14,20,6,26,32,17,8,0,20,30,77
