pid,tcf_season_final,tcf_conf_gp,tcf_conf_gp_share,tcf_usg,tcf_d_usg,tcf_ortg,tcf_d_ortg,tcf_adjoe,tcf_d_adjoe,tcf_drtg,tcf_d_drtg,tcf_adrtg,tcf_d_adrtg,tcf_bpm,tcf_d_bpm,tcf_obpm,tcf_d_obpm,tcf_dbpm,tcf_d_dbpm,tcf_ts,tcf_d_ts,tcf_efg,tcf_d_efg,tcf_ast_per,tcf_d_ast_per,tcf_tov_per,tcf_d_tov_per,tcf_orb_per,tcf_d_orb_per,tcf_drb_per,tcf_d_drb_per,tcf_stl_per,tcf_d_stl_per,tcf_blk_per,tcf_d_blk_per,tcf_ftr,tcf_d_ftr,tcf_tp3_pct,tcf_d_tp3_pct,tcf_tpar,tcf_d_tpar,tcf_tpa100,tcf_d_tpa100,tcf_porpag,tcf_d_porpag,tcf_minper,tcf_d_minper,tcf_pts_pg,tcf_d_pts_pg,tcf_reb_pg,tcf_d_reb_pg,tcf_ast_pg,tcf_d_ast_pg
Pe728a39ea0,2021,16,0.551724,29.1,1.6,99.4,-2.5,116.489,-0.05,94.2836,1.9786,86.8789,0.8199,4.82129,-2.7847,1.83086,-0.99382,2.99043,-1.79088,50.47,-1.62,50,-1.9,12,-3.4,20,-0.6,20,1.7,24.7,0.9,2.4,0.1,3.4,-1.7,46.2,-0.6,0,0,0.00769231,-0.00156695,0.181146,-0.0179,2.07953,-0.00168,48,0.1,10,0.5172,7.875,0.2888,1.125,-0.3233
Pe7315ec2ca,2021,13,0.65,27.9,0.1,118.9,5.3,126.649,5.091,93.7072,-5.1817,99.2004,-2.3486,5.10208,1.34621,3.53629,0.50627,1.56579,0.839933,60.3,1.99,53.9,1.7,17,0.6,14.3,0,8.2,0.7,24.2,1.7,4,0.7,2.7,0.3,48.2,5,0.286,-0.076,0.198582,-0.0084669,4.4651,-0.2031,4.26485,0.42914,74.2,-1.9,16.0769,0.1224,7.3077,0.4441,2.5385,0.084
Pe75e4da903,2016,18,0.580645,24.4,0.4,99.9,-5.7,113.345,-2.811,113.643,5.619,105.627,2.462,-0.638224,-2.52342,0.465899,-1.44104,-1.10412,-1.08239,55.09,-4.21,53.6,-3.5,5.7,-2.7,20.2,-0.4,9.2,0.3,17.7,1.2,1.5,-0.2,0.7,-0.4,21.4,-6,0.429,0.062,0.169903,-0.0193715,3.74846,-0.1567,2.67122,-0.14932,75.7,3.7,13.8889,0.1792,6.7222,0.5287,0.7222,-0.2778
Pe77b8e73a4,2021,12,0.545455,24.3,-0.4,100.9,4.1,100.496,0.8609,87.8675,-4.6478,93.0789,-1.4412,5.69636,0.10397,-0.586934,-0.872868,6.2833,0.97685,58.05,4.43,56.9,4.8,26.6,3.6,23.2,4.4,4.2,-0.2,20.5,2.7,3.5,-0.3,7,1.6,79,18.1,0.366,0.045,0.330645,0.0259577,4.71973,-0.38958,1.87298,0.13569,88.5,1.5,16.5,0.4091,9.75,1.6136,4.6667,1.1212
Pe79f6d1bdb,2009,18,0.529412,31.9,-0.7,121,3.7,139.156,1.778,93.8554,-2.6538,95.6122,-0.3189,9.79743,1.17893,9.36897,1.15591,0.428462,0.023019,55.93,-2.4,49.7,-2.7,45.8,5,11.2,-4.2,1.7,0.1,9.4,-0.6,2.9,0,0.7,0.2,40.2,-5.1,0.304,-0.057,0.321678,-0.0197396,8.9287,-0.15962,6.4656,0.09107,86.3,-1.7,21.1667,-1.1862,3.4444,-0.1438,7,0.8235
Pe7ad570728,2009,16,0.470588,22.8,-0.3,118.1,-0.4,123.727,-3.604,93.0835,-0.3882,91.8247,1.7746,8.35137,-0.2662,4.64618,-0.85221,3.70519,0.586,59.12,0.42,55.3,0.5,14.8,0,17.7,2.2,11.8,1.6,14.2,0.3,1.1,-0.3,4.3,1.4,40.1,0.1,0.353,-0.061,0.223684,-0.0399522,4.2703,-1.01245,3.95986,-0.35356,74.1,2.4,13.375,-0.1838,6.75,0.6029,2.125,0.2721
Pe7bcbcc1c2,2023,16,0.444444,15.5,-1.2,142,11.6,135.339,6.654,106.283,2.461,101.86,3.8094,7.95199,0.90352,6.81751,0.65284,1.13448,0.250682,68.82,3.15,67.2,3.4,11.5,1.6,8.7,-3.3,5.1,-0.2,15.3,1.4,2.2,-0.3,0.3,0.2,18.9,-3.5,0.5,-0.006,0.466667,0.0507788,7.04595,0.42094,3.41639,0.43393,51.2,-0.6,8.4375,-0.2382,3.5,-0.1757,1.625,0.2466
Pe7f5f31a46,2015,18,0.6,25.7,0.6,117.2,1.4,125.103,2.863,92.7807,1.5533,91.6667,0.2,9.41046,1.39995,3.77911,1.09594,5.63136,0.30402,62.03,-0.28,59.6,0.3,9.6,2.4,15.6,-0.9,11.2,-0.3,19,-2,1.8,0.3,11.4,0.1,42.6,-8.1,0.438,0.019,0.174863,0.021292,3.77121,0.64793,3.79943,0.33752,72.6,5.5,15.1667,0.3602,7.6111,-0.4212,1.1111,0.2724
Pe82bc0553e,2010,16,0.457143,25.1,-0.9,93.7,-8.2,109.128,-6.999,97.2259,6.7123,90.2987,4.0754,0.541923,-1.54134,-1.34856,-1.62004,1.89048,0.07869,47.55,-6.56,47.4,-4.9,2.5,-1.1,16.1,-2.1,11.6,-1.6,20.8,-0.9,1.2,0.2,6.3,0.6,59.7,-8.5,0,0,0.00649351,0.00337824,0.134172,0.0721117,2.13047,-0.59385,65.6,1,11.75,-1.3929,8.25,-0.3214,0.3125,-0.1161
Pe896f378ca,2020,16,0.533333,31.2,2.2,110.7,3.6,120.852,4.538,106.95,2.844,105.848,2.25,1.60694,-0.82792,2.40648,0.15601,-0.79954,-0.983925,57.21,0.53,52.2,-0.3,16,-0.2,11,-1.8,5.4,0.8,17.1,-0.9,1.9,-0.2,2.2,-0.7,47.1,3.7,0.408,-0.003,0.192157,0.0179325,4.92796,0.76121,4.17234,0.70111,84.7,4,22.3125,3.6028,6.75,0.4919,2.25,0.1532
