pid,sc_athleticism,sc_size,sc_defense,sc_strength,sc_quickness,sc_leadership,sc_jumpshot,sc_nbaready,sc_potential,sc_intangibles,sc_ballhandling,sc_passing,sc_rebounding,sc_postskills,sc_overall,sc_intang_lead,sc_kw_injury,sc_kw_upside,sc_kw_motor,sc_kw_character,sc_kw_shooting_concern,sc_kw_nba_ready,sc_words_strengths,sc_words_weaknesses
Pe929ebb536,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,11.0,219.0
P1199724869,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,117.0,63.0
P979bc77e15,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,11.0,30.0
Pc692096d48,,,,,,,,,,,,,,,,,,,,,,,,
Pa08cb88c9e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,94.0
P634aaac9d4,,,,,,,,,,,,,,,,,,,,,,,,
P3d9db1cda1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,49.0,35.0
P6031807405,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,79.0,34.0
P01fc763e95,,,,,,,,,,,,,,,,,,,,,,,,
P91e42fff83,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,23.0
P7662bd9a71,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,56.0
Pb7f87f6748,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,26.0
P540f972282,,,,,,,,,,,,,,,,,,,,,,,,
P33f4d69488,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,30.0
Pc0e29b5887,,,,,,,,,,,,,,,,,,,,,,,,
P5656ae84e7,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,44.0
P792efcc523,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,1.0,11.0,54.0
P59cd2b2d22,,,,,,,,,,,,,,,,,,,,,,,,
P71d533551f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,92.0,36.0
P4c416f9cab,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,230.0
P0459b830f2,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,41.0,54.0
Pd2dc1d3e0e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0
P357471422c,,,,,,,,,,,,,,,,,,,,,,,,
Pb74259d44e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,39.0
P33c766f164,,,,,,,,,,,,,,,,,,,,,,,,
Pd4f1d19d77,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,12.0
P42dd9e15a4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,74.0,70.0
P4cd866005e,,,,,,,,,,,,,,,,,,,,,,,,
Pfdab72198e,,,,,,,,,,,,,,,,,,,,,,,,
P70ecb2ee9d,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,33.0,66.0
P780ecd00c5,,,,,,,,,,,,,,,,,,,,,,,,
P2abf5d1b69,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,11.0,184.0
P7d55637f90,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,66.0,40.0
P39c99a28df,,,,,,,,,,,,,,,,,,,,,,,,
Pe79941522f,,,,,,,,,,,,,,,,,,,,,,,,
P5635d18ecc,,,,,,,,,,,,,,,,,,,,,,,,
Pe961cc9c52,,,,,,,,,,,,,,,,,,,,,,,,
P47eee57e35,,,,,,,,,,,,,,,,,,,,,,,,
P3514cc9b35,,,,,,,,,,,,,,,,,,,,,,,,
P71645345d7,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,11.0,63.0
P021e6add75,,,,,,,,,,,,,,,,,,,,,,,,
P830efff813,,,,,,,,,,,,,,,,,,,,,,,,
Pdacee2a50f,,,,,,,,,,,,,,,,,,,,,,,,
P3769bd015c,,,,,,,,,,,,,,,,,,,,,,,,
P4adcc58a26,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,244.0,105.0
P648b9117f8,,,,,,,,,,,,,,,,,,,,,,,,
Pebd90a92ff,,,,,,,,,,,,,,,,,,,,,,,,
P187b6721ca,,,,,,,,,,,,,,,,,,,,,,,,
P6d9b6a98b1,,,,,,,,,,,,,,,,,,,,,,,,
P85381afe4a,,,,,,,,,,,,,,,,,,,,,,,,
P2ca94b8a14,,,,,,,,,,,,,,,,,,,,,,,,
P3c40dc7411,,,,,,,,,,,,,,,,,,,,,,,,
Pe932df1062,,,,,,,,,,,,,,,,,,,,,,,,
P83519063cc,,,,,,,,,,,,,,,,,,,,,,,,
Pfe4a1d82f4,,,,,,,,,,,,,,,,,,,,,,,,
P396b44b337,,,,,,,,,,,,,,,,,,,,,,,,
Pa3f1da9bab,,,,,,,,,,,,,,,,,,,,,,,,
P98207c2747,,,,,,,,,,,,,,,,,,,,,,,,
Pcf7f47cd26,,,,,,,,,,,,,,,,,,,,,,,,
P4b934e1435,,,,,,,,,,,,,,,,,,,,,,,,
Pca9a20b4db,,,,,,,,,,,,,,,,,,,,,,,,
Pe09c2486c8,,,,,,,,,,,,,,,,,,,,,,,,
Pd72acae20f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0
P797b6b2deb,,,,,,,,,,,,,,,,,,,,,,,,
P06b92eaa32,,,,,,,,,,,,,,,,,,,,,,,,
Pd51bbef7c1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,72.0,94.0
Pb3ff680bd6,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,38.0,106.0
Pbc5a0470c9,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,2.0,0.0,153.0,245.0
P014b6ed928,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,3.0,0.0,261.0,512.0
Pae0e6be256,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,79.0,57.0
Peab571b95d,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,222.0,95.0
P39c1b5b439,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.0,1.0,171.0,160.0
P01056a0f18,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,196.0,212.0
P7feaaeffcb,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,177.0,99.0
P0efa2b4f7d,,,,,,,,,,,,,,,,,,,,,,,,
P3d283763c2,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,318.0,102.0
P9dc8436179,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,122.0,101.0
Pc5cf3e8f14,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,5.0,0.0,178.0,436.0
Pced63c164c,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,73.0
P64b1bc7766,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,156.0,188.0
P3c6c730bf2,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,91.0,49.0
Pace4fe8116,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,70.0,52.0
P539180f113,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,192.0,209.0
P5e97ce9bc9,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,213.0,45.0
P37455198a4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,109.0,72.0
Pa526a12aa4,,,,,,,,,,,,,,,,,,,,,,,,
Pb7edd3ead7,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.0,1.0,177.0,167.0
P38d9dee28f,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,226.0,165.0
P53313a94c2,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,4.0,0.0,170.0,344.0
P5e60e1df8d,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,76.0,77.0
Pc441e97a64,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,173.0,205.0
P6294004747,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,3.0,1.0,79.0,219.0
P3dd5c6b05b,,,,,,,,,,,,,,,,,,,,,,,,
Pd0fb9bca1b,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,0.0,188.0,231.0
Pd8afdd28b5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,3.0,0.0,185.0,273.0
P82d1799627,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,210.0,131.0
Pf4d331b9a5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,89.0,351.0
P47846f7398,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,73.0
P08c56d3590,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,57.0,27.0
Pa3bf9b334b,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,170.0,164.0
P4649b7d232,,,,,,,,,,,,,,,,,,,,,,,,
P62fd3b7dd9,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,183.0,99.0
