pid,tcfs_bpm,tcfs_stl_per,tcfs_obpm,tcfs_d_ts,tcfs_minper,tcfs_ast_per,tcfs_ortg,tcfs_d_usg
P1f842c307e,1.57427,1.4,2.91207,-1.74,80.1,5.8,106.1,-0.1
P1f88525e9f,14.4188,2.4,5.90791,0.22,84.9,19.5,118.4,-0.2
P1fc9b73472,11.3563,1.8,9.21338,-0.74,91.1,23.5,137.3,0.6
P1fe8b7c256,1.52568,0.5,-0.582946,-6.42,59.8,25.0,90.2,-0.5
P20418f8d52,10.3259,2.5,9.2534,-0.56,80.8,33.2,129.3,-1.3
P204a101867,7.64976,1.0,3.2881,-1.09,81.4,17.0,111.5,0.7
P2061b46d22,5.9116,3.1,4.86728,-1.27,85.4,36.2,115.8,-0.7
P2084d7c5fc,3.75212,1.6,2.68569,-1.89,76.0,9.5,105.2,0.2
P2086e31fc5,7.29377,2.3,4.99285,2.48,71.2,7.4,127.0,0.4
P20a99f84fd,8.27526,2.8,3.39622,-8.24,73.9,10.9,104.2,1.4
P2100fc35c8,3.34236,2.6,0.563971,-2.64,73.4,15.3,102.8,-0.6
P212def8838,0.163319,0.6,-0.104294,-1.65,71.9,3.5,109.2,-1.6
P21372aaded,8.48537,3.6,2.10681,0.33,64.0,23.7,102.8,-1.3
P213b82c86a,5.37195,1.8,2.29805,-1.16,81.4,16.0,107.8,0.9
P2171d2817b,10.0128,1.9,1.19777,-1.34,49.9,10.8,107.7,1.0
P21808403e2,3.56616,2.3,3.18804,-0.79,82.6,21.9,101.2,1.0
P2185571f79,5.05555,2.9,1.8906,-1.49,79.0,19.6,101.5,-1.5
P218d8c92b9,4.66422,1.5,2.6172,-2.97,76.3,8.7,107.4,-0.5
P22340c4458,8.09581,3.0,4.43486,-1.0,83.8,18.3,118.5,0.8
P224fa713e4,3.8076,1.4,4.34229,-2.23,80.3,11.8,108.8,-1.1
P2297a93a7f,7.31733,1.1,4.01179,2.41,47.5,7.4,116.5,-1.2
P22add316a5,7.60821,2.8,2.77863,-3.54,82.2,17.1,102.8,0.9
P22b18d36a6,6.50561,2.2,4.78149,-6.23,82.4,16.7,107.9,-0.9
P22caf129cd,2.34509,1.9,2.92408,-0.76,87.0,18.6,110.1,-0.7
P23026d4d13,5.99374,1.1,4.24146,0.51,93.8,23.0,118.1,0.9
P2318b539a3,4.06385,1.9,0.200087,-5.58,80.0,21.2,86.8,-0.2
P2320c27578,4.07691,1.7,3.41084,0.38,87.5,12.0,104.2,-1.1
P233044615c,3.61283,1.6,1.94519,0.23,71.3,10.2,108.3,1.4
P2382218b2e,5.63336,1.8,4.57175,2.08,66.8,4.8,136.2,-0.8
P23f1ba707f,5.50557,2.1,3.59757,-1.59,75.4,6.3,110.1,-0.1
P24a562f4ba,7.68536,2.0,5.02859,0.53,86.2,15.1,109.0,0.2
P24b8a1c556,3.17701,1.4,3.3791,-3.03,76.7,10.4,103.8,-1.4
P24c85e006b,4.58686,1.2,2.18886,-0.63,82.7,12.0,108.3,-0.6
P24e5e8b7dc,6.70927,0.8,6.06704,-1.28,80.7,13.2,116.9,1.4
P24fc987f38,12.3365,2.4,5.14893,-2.34,86.6,15.2,108.3,1.2
P2511a36f77,0.709478,1.7,1.11272,-2.21,87.7,25.1,92.6,-0.2
P251ed0e7a3,3.02753,1.5,1.67163,-1.7,63.7,12.2,105.3,-0.7
P2524393d71,5.10064,0.7,5.00565,4.83,74.4,6.4,121.7,-0.9
P25609e2dfe,4.40511,2.5,0.27109,-1.52,82.2,13.1,93.9,-0.7
P2561e38a80,-0.37545,1.4,0.094501,0.54,68.8,15.5,101.4,2.7
P259fbebd69,7.22946,2.9,3.6264,-5.24,54.6,13.8,109.0,-0.3
P25bfc6427b,5.21185,0.4,2.11343,3.84,65.9,7.7,110.7,-1.2
P25c1384060,3.14291,3.5,1.47764,4.64,35.4,35.6,104.9,0.5
P25ddbfff0e,7.10868,1.4,5.41771,0.57,65.0,5.3,120.6,-0.1
P25e61f80f8,7.71938,2.1,7.06836,-1.9,66.9,34.7,108.1,1.4
P26312e5087,5.31446,2.9,2.1273,-0.66,74.1,19.7,104.0,-0.9
P268ca85d2e,10.2787,1.8,6.98576,2.88,73.3,12.1,123.1,0.9
P26ad072598,8.45289,3.4,6.68373,1.4,84.7,21.2,127.3,-0.6
P26b4659b22,6.50216,0.6,3.61286,-1.65,75.8,11.9,110.9,1.1
P26d0fde68c,2.06859,0.6,0.886271,1.48,34.4,3.3,103.1,-0.5
P26d2a90c5b,6.84822,1.1,4.94848,-0.92,88.3,18.9,114.0,0.9
P26e74779f0,3.4813,2.3,1.86517,-4.07,66.0,26.8,101.1,1.3
P26f8dd510c,12.5773,1.3,3.48787,-3.38,77.4,2.8,114.2,-0.6
P272ac40c3c,3.57181,2.2,-0.0256421,-3.28,52.7,4.4,100.7,-0.7
P272afc1b90,7.40678,2.5,3.27376,-6.5,79.5,12.5,105.6,0.3
P273938bb97,,,,,,,,
P277650e4b3,3.75563,2.3,1.32348,-2.05,85.6,16.9,110.3,0.1
P279cdc2712,10.5157,3.1,3.97473,-5.98,82.9,28.8,106.1,0.9
P27a3420564,8.49755,2.0,5.4693,-0.06,91.1,20.0,109.3,0.3
P27a35575e9,7.92361,2.1,5.06807,-0.15,91.0,18.1,114.0,1.6
P27d264f43c,6.43926,4.0,2.13317,-3.24,71.1,22.2,100.9,0.1
P280da25d92,0.048944,1.6,1.25814,-1.02,81.1,20.8,107.5,-0.5
P281db24dd9,-0.489767,3.0,-0.210401,6.69,57.6,28.6,105.7,0.3
P28594efa12,9.2481,1.9,3.30432,-5.18,42.5,4.0,111.2,0.8
P287f82c404,13.2495,1.9,5.15415,-0.7,49.8,16.8,119.3,0.9
P2890042448,3.90891,1.8,2.59744,1.42,79.7,22.4,101.0,-0.4
P289da7f9c1,4.40073,1.8,2.76626,1.48,84.0,19.0,107.0,-0.8
P2900148dca,1.50339,0.9,-1.64048,-0.96,9.5,9.4,96.5,-3.9
P2943e264b5,-5.42058,1.7,-3.15179,0.86,72.5,12.2,96.6,-0.3
P297adbbd5f,6.0365,2.8,1.63504,-0.47,81.4,6.9,98.1,-2.0
