draft_year,player,pick,war5,r,colin_rank,outcome_rank,pick_rank,pid,bio_age_at_draft,cons_mock_consensus_rank,hs_rsci_rank,col_impact,col_ts_pct,col_fg3_pct,col_ast_pct,path,bio_height_in,steal,our_rank
2020,Robert Woodard II,40.0,-0.0167655662651157,0.1708333333333333,53.0,40.0,40.0,P04282e0cbf,21.16,26.333333333333332,56.0,5.09328,56.4,0.429,7.6,college_2008plus,79.0,0.0,36.0
2020,Saben Lee,38.0,0.045813409729862,0.2083333333333333,49.0,35.0,38.0,P198bb02a0c,21.41,,,4.17965,58.02,0.322,32.0,college_2008plus,74.0,3.0,50.0
2020,Saddiq Bey,19.0,7.148233930558337,0.8041666666666667,12.0,15.0,19.0,P04526b8576,21.61,13.0,,7.29618,60.82,0.451,14.9,college_2008plus,80.0,4.0,16.0
2020,Sam Merrill,60.0,4.033465132242801,0.1958333333333333,51.0,23.0,60.0,P8884c4fd03,24.11,50.0,,7.38131,62.55,0.41,24.0,college_2008plus,76.0,37.0,48.0
2020,Skylar Mays,50.0,0.575306473064838,0.3375,43.0,29.0,50.0,P2ca61183dc,23.2,48.0,,6.67675,62.18,0.394,17.0,college_2008plus,76.0,21.0,40.0
2020,Théo Maledon,34.0,-6.304095326423815,0.125,56.0,60.0,34.0,Pde7308c87b,19.44,18.4,,,,,,international,77.0,-26.0,32.0
2020,Tre Jones,41.0,9.409984232847394,0.6875,19.0,13.0,41.0,P716f6175e4,20.86,30.333333333333332,13.0,6.52834,52.39,0.361,31.4,college_2008plus,74.0,28.0,10.0
2020,Tyler Bey,36.0,-0.3713011483839008,0.3541666666666666,40.0,45.0,36.0,P32d7e7e1eb,22.77,29.5,,7.72229,61.12,0.419,11.5,college_2008plus,79.0,-9.0,15.0
2020,Tyrell Terry,31.0,0.1242177352334547,0.8125,11.0,33.0,31.0,P289da7f9c1,20.14,21.6,88.0,5.17461,58.92,0.408,20.3,college_2008plus,75.0,-2.0,29.0
2020,Tyrese Haliburton,12.0,38.49741821783152,0.9958333333333332,1.0,1.0,12.0,P1388f2fd26,20.72,8.4,,10.7958,63.12,0.419,35.3,college_2008plus,77.0,11.0,1.0
2020,Tyrese Maxey,21.0,21.882227841352705,0.7333333333333334,17.0,4.0,21.0,Pa3fa433740,20.04,18.6,10.0,4.10997,53.06,0.292,18.3,college_2008plus,75.0,17.0,46.0
2020,Udoka Azubuike,27.0,0.0601114215133377,0.5583333333333333,27.0,34.0,27.0,P08bc96e9be,21.17,38.0,33.0,11.5045,68.06,,7.4,college_2008plus,83.5,-7.0,23.0
2020,Vernon Carey Jr.,32.0,-0.1140208215343647,0.3,45.0,43.0,32.0,Pad0b972baf,19.73,25.666666666666668,5.0,6.67163,61.53,0.381,8.3,college_2008plus,82.0,-11.0,49.0
2020,Vít Krejčí,37.0,0.63195668292801,0.4208333333333333,33.0,28.0,37.0,P3bfc12237e,20.42,,,,,,,international,80.0,9.0,55.0
2020,Xavier Tillman Sr.,35.0,5.259636995376789,0.9208333333333334,6.0,22.0,35.0,P1f88525e9f,21.85,32.666666666666664,83.0,12.816,59.29,0.26,18.3,college_2008plus,80.5,13.0,3.0
2020,Yam Madar,47.0,0.0,0.3416666666666667,42.0,37.0,47.0,,,,,,,,,,,10.0,
2020,Zeke Nnaji,22.0,-0.4412979339416389,0.3833333333333333,35.0,46.0,22.0,Pe237a28a37,19.86,28.0,38.0,5.43738,62.96,,5.8,college_2008plus,82.5,-24.0,35.0
2021,Aaron Wiggins,55.0,7.587326040053998,0.3791666666666666,38.0,14.0,55.0,Pc131e1ee6f,22.57,40.25,41.0,6.24785,54.23,0.346,17.2,college_2008plus,77.0,41.0,31.0
2021,Alperen Şengün,16.0,29.48804899984265,0.7458333333333333,16.0,2.0,16.0,Pb3cfb2c388,19.01,16.0,,,,,,international,81.0,14.0,5.0
2021,Ayo Dosunmu,38.0,6.560536668417216,0.45,30.0,17.0,38.0,P9fd480084b,21.53,30.25,32.0,8.56757,56.64,0.386,29.2,college_2008plus,77.0,21.0,36.0
2021,Balša Koprivica,57.0,0.0,0.2916666666666666,46.0,41.0,57.0,P8b8dcb5659,21.14657768651608,,,7.53753,62.22,,7.7,college_declared,85.0,16.0,
2021,Bones Hyland,26.0,6.168231469464866,0.6125,21.0,19.0,26.0,P61d8f8df57,20.87,26.5,,,,0.3709999999999999,,college_pre2008_or_unlinked,75.5,7.0,53.0
2021,Brandon Boston Jr.,51.0,-1.1229289160616696,0.1791666666666666,56.0,54.0,51.0,P5705590403,19.67,,,2.93894,44.72,0.3,11.3,college_2008plus,79.0,-3.0,43.0
2021,Cade Cunningham,1.0,22.631160650886816,1.0,1.0,5.0,1.0,P61afdc25a4,19.84,1.2,1.0,6.29176,57.46,0.4,20.2,college_2008plus,80.0,-4.0,11.0
2021,Cam Thomas,27.0,0.682961983282198,0.2083333333333333,54.0,34.0,27.0,Pe28113186c,19.79,21.0,,,,0.325,,international,75.0,-7.0,50.0
2021,Charles Bassey,53.0,1.7981764120768466,0.2833333333333333,47.0,28.0,53.0,P0326e23b0d,20.75,39.0,9.0,7.26615,64.31,0.305,5.6,college_2008plus,82.25,25.0,41.0
2021,Chris Duarte,13.0,1.5912612030399,0.9166666666666666,6.0,29.0,13.0,P05f9ca4653,24.13,19.0,,9.3347,65.73,0.424,14.9,college_2008plus,78.0,-16.0,24.0
