pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
P6525188e53,2007,,,,
Pf6d18cb839,2007,,,,
P67d2056db6,2007,,,,
P8e68185705,2007,,,,
Pb380360b47,2007,,,,
Pcd53db286a,2007,,,,
Pcfbeb8a341,2007,,,,
P0f110bb83f,2007,,,,
P93e1b535ab,2007,,,,
Pd1415c96b7,2007,,,,
Pf5e2b9f7f1,2007,,,,
Pac5bd0e496,2007,,,,
P544e2d56ac,2007,,,,
Pa610141ccc,2007,,,,
P586a0d2a81,2007,,,,
P220e9380db,2010,,,,
P02f9f17423,2007,,,,
P9bd8ef5672,2007,,,,
P801bf131e6,2007,,,,
Pc9bef9c2e0,2008,,,,
Pd175d5631f,2007,,,,
Pc47bd1a1ea,2007,,,,
Pa5107e2b9c,2007,,,,
Pa2b1e0c1b9,2011,,,,
P10d6b2ba68,2017,,,,
P16bad3a52e,2011,,,,
P4f54eef176,2011,,,,
Pda7f31dba8,2007,,,,
Pb047bb4747,2008,,,,
P722aa856f7,2008,,,,
P552ea773e2,2008,,,,
P2d45174d7f,2008,,,,
P67ee7c4408,2008,,,,
Pdfe2a49906,2008,,,,
Peda84f3898,2008,,,,
Pd43d378f42,2008,,,,
P2e38e474e2,2008,,,,
P376f10f64c,2008,,,,
Pab86c7dfaf,2008,,,,
Pf1e6555cfc,2008,,,,
P7c81e9aca5,2008,,,,
P7e5e28e6b3,2008,,,,
Pdb3f441dab,2008,,,,
P4afc5fb3f7,2008,,,,
Pfcb4575061,2008,,,,
Pffe825f9b7,2008,,,,
P3d1eff1bca,2008,,,,
P969f2b1c13,2008,,,,
Pd19bde5a19,2008,,,,
Pc3a5f10000,2008,,,,
P0157d20b94,2008,,,,
Pda7ff44e77,2008,,,,
P0e7908a570,2008,,,,
P4b0ccf34e0,2008,,,,
Pab534e249b,2008,,,,
P9f5758481a,2008,,,,
P41bc73e83b,2008,,,,
Pe67238da8c,2008,,,,
Pbbde966f1e,2008,,,,
Pad8df3794d,2008,,,,
P7c1c1e7eac,2008,,,,
P246009ab63,2008,,,,
P486b5c76fa,2008,,,,
P82dd1ca59f,2008,,,,
P8482acfde2,2008,,,,
P2fe87c73a6,2008,,,,
P6dfb5df5c6,2008,,,,
P1ca581fef0,2008,,,,
Pc9371b494a,2008,,,,
P4b06d66b80,2008,,,,
Pf14243ec5e,2008,,,,
P79f9e777a1,2008,,,,
P951f092ec6,2008,,,,
P28594efa12,2008,,,,
P2bc925c307,2008,,,,
P94bbcbe8b9,2008,,,,
Pbbe7c2361f,2008,,,,
P2528efc939,2008,,,,
Pc06b79b843,2008,,,,
P8ff779ec76,2008,,,,
Pb7bd8922eb,2008,,,,
Pfa9e39fc67,2008,,,,
Pb00deeb55d,2008,,,,
P9378e87d91,2009,,,,
Pa5aab1aab8,2009,,,,
P6aab967db9,2009,,,,
P13adb32b1d,2010,,,,
Pf31133cc3c,2009,,,,
P6e6a2db0d6,2008,,,,
P39e62f008f,2011,,,,
P146ec7320a,2009,,,,
P26f8dd510c,2009,,,,
P2acc089d0e,2009,,,,
Pe2d0a4cddd,2009,,,,
P22c8154970,2009,,,,
P1738f63a26,2009,,,,
P7b8c6b66e0,2009,,,,
P3391f209f3,2009,,,,
Pad8e6fd6b0,2009,,,,
P52f9046b71,2009,,,,
P4417860ddd,2009,,,,
Pef77516e2b,2009,,,,
P4c4f563b8c,2009,,,,
Pc430805a15,2009,,,,
P7ef2b1cf05,2009,,,,
P60425a0c89,2009,,,,
Pab257f8a15,2009,,,,
P0086aec335,2009,,,,
Pe79f6d1bdb,2009,,,,
P7d7c4d5568,2009,,,,
Pcb72b419f2,2009,,,,
P57a6e7dc53,2009,,,,
P38fd19ed26,2009,,,,
P117b8ca478,2009,,,,
P6fd4123c4d,2009,,,,
Pc99e2f6730,2009,,,,
P2805efe438,2009,,,,
P2d06a24aee,2009,,,,
P4f7ec9f72f,2009,,,,
P57802757ed,2009,,,,
P3326a2a68b,2009,,,,
P977d8b209e,2009,,,,
Pc643573699,2009,,,,
P5e4e4a8cf1,2009,,,,
P16997d7184,2009,,,,
P8514f39741,2009,,,,
Pe7ad570728,2009,,,,
Pa0dded8876,2009,,,,
P917b0d4d70,2009,,,,
P922c03ccad,2009,,,,
Pb58f931dd3,2009,,,,
P456fdc6328,2009,,,,
P5500e23cae,2009,,,,
P322900af3b,2009,,,,
Pfd96fb33e5,2009,,,,
P1015da4297,2009,,,,
P4b1ba6339f,2009,,,,
Pfc3cc92a5c,2009,,,,
P6f23e4dd26,2009,,,,
Pdb8fb82c3b,2010,,,,
Pba6ba7bcf4,2010,,,,
P37b821fb18,2009,,,,
P74a501a7bb,2013,,,,
P6d59a1d0fb,2009,,,,
P2d536d911b,2009,,,,
P50969329ac,2011,,,,
P1a8bbe3efe,2009,,,,
P55c8e33d89,2013,,,,
Pad180fa2f7,2010,,,,
P981540aa5d,2011,,,,
Pd01ecb3669,2010,,,,
Ped95bfcd7e,2010,,,,
Pcc98298533,2010,,,,
Peb88f22502,2010,,,,
P97ae54051b,2010,,,,
Pc58bcc8049,2010,,,,
P297adbbd5f,2010,,,,
P7f86ce09cc,2010,,,,
P7e584efe40,2010,,,,
P10d0b75bed,2010,,,,
P8fac339738,2010,,,,
P3f25ee2633,2010,,,,
P502aba077e,2010,,,,
P440f6cc00f,2010,,,,
P0d0da4d2bc,2010,,,,
P871b04878c,2010,,,,
Pb46ac34cd7,2010,,,,
P54e531f2ec,2010,,,,
Pd646388a2b,2010,,,,
P38bff88a77,2010,,,,
Pa56ca2c36c,2010,,,,
Pdc16ca4e2e,2010,,,,
P2c1e066057,2010,,,,
P4793f789c0,2010,,,,
Pabb4255b19,2010,,,,
P581e368d46,2010,,,,
P830611c613,2010,,,,
P815e63680a,2010,,,,
Pe97fa79993,2010,,,,
P96ac6f0cd3,2010,,,,
P7a82e40751,2010,,,,
P27a3420564,2010,,,,
Pe03992058c,2010,,,,
Pbd2eb786d3,2010,,,,
P966e81614a,2010,,,,
Pe82bc0553e,2010,,,,
P3d55371834,2010,,,,
Pc62b6f4e46,2010,,,,
